hunt_code,hunt_name,species,sex_type,weapon,hunt_type,draw_design,match_2026_name
EB3198,"Mid -Southwest Desert, South -Any Legal Weapon",Elk,Bull,Any Legal Weapon,Limited Entry,Max/Weighted Split,"Southwest Desert, South"
EB3500,Any Legal Weapon,Elk,Bull,Any Legal Weapon,CWMU,Max/Weighted Split,Alton
EB3505,Cwmu Bull Elk -Boobe Hole -Any Legal Weapon,Elk,Bull,Any Legal Weapon,CWMU,Max/Weighted Split,Boobe Hole
EB3524,Any Legal Weapon,Elk,Bull,Any Legal Weapon,CWMU,Max/Weighted Split,Hardscrabble
EB3540,Old Woman Plateau -Any Legal Weapon,Elk,Bull,Any Legal Weapon,CWMU,Max/Weighted Split,Old Woman Plateau
EB3543,Preston Nutter Ranch -Any Legal Weapon,Elk,Bull,Any Legal Weapon,CWMU,Max/Weighted Split,Preston Nutter Ranch
EB3546,Roan Cliffs -Any Legal Weapon,Elk,Bull,Any Legal Weapon,CWMU,Max/Weighted Split,Roan Cliffs
EB3551,Sj Ranch -Any Legal Weapon,Elk,Bull,Any Legal Weapon,CWMU,Max/Weighted Split,SJ Ranch
EB3617,Diamond Mountain Cwmu,Elk,Bull,Any Legal Weapon,CWMU,Max/Weighted Split,
DB0007,Sportsman Buck Deer,Deer,Buck,Any Legal Weapon,Sportsman,Random,Sportsman Buck Deer
EB1000,Sportsman Bull Elk,Elk,Bull,Any Legal Weapon,Sportsman,Random,Sportsman Bull Elk
PB1000,Sportsman Buck Pronghorn,Pronghorn,Buck,Any Legal Weapon,Sportsman,Random,Sportsman Buck Pronghorn
MB1000,Sportsman Bull Moose,Moose,Bull,Any Legal Weapon,Sportsman,Random,Sportsman Bull Moose
BI1000,Sportsman Bison,Bison,Either Sex,Any Legal Weapon,Sportsman,Random,Sportsman Bison
RS0001,Sportsman Rocky Mountain Bighorn Sheep,Rocky Mountain Bighorn Sheep,Ram,Any Legal Weapon,Sportsman,Random,Sportsman Rocky Mountain Bighorn Sheep
DS1000,Sportsman Desert Bighorn Sheep,Desert Bighorn Sheep,Ram,Any Legal Weapon,Sportsman,Random,Sportsman Desert Bighorn Sheep
GO1000,Sportsman Mountain Goat,Mountain Goat,Either Sex,Any Legal Weapon,Sportsman,Random,Sportsman Mountain Goat
BR1000,Sportsman Black Bear,Black Bear,Either Sex,Any Legal Weapon,Sportsman,Random,Sportsman Black Bear
TK0001,Sportsman Bearded Turkey,Turkey,Bearded,Any Legal Weapon,Sportsman,Random,Sportsman Bearded Turkey
