row_number,field,before,after,hunt_code,hunt_name,source_file
3,algorithm_status,,NOT_SCORABLE_AUCTIONED_CONSERVATION,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
3,qa_status,,OK,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
3,notes,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR Conservation permit is auctioned/organization allocation; not a scorable draw result.,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
4,draw_design,Allocation / Reference Only,Organizations,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
4,record_type,point_level_draw_result,conservation_auction_allocation,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
4,algorithm_status,,NOT_SCORABLE_AUCTIONED_CONSERVATION,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
4,qa_status,,OK,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
4,notes,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR Conservation permit is auctioned/organization allocation; not a scorable draw result.,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
5,draw_design,Allocation / Reference Only,Organizations,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
5,record_type,point_level_draw_result,conservation_auction_allocation,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
5,algorithm_status,,NOT_SCORABLE_AUCTIONED_CONSERVATION,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
5,qa_status,,OK,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
5,notes,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR Conservation permit is auctioned/organization allocation; not a scorable draw result.,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
6,draw_design,Allocation / Reference Only,Organizations,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
6,record_type,point_level_draw_result,conservation_auction_allocation,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
6,algorithm_status,,NOT_SCORABLE_AUCTIONED_CONSERVATION,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
6,qa_status,,OK,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
6,notes,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR Conservation permit is auctioned/organization allocation; not a scorable draw result.,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
7,draw_design,Allocation / Reference Only,Organizations,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
7,record_type,point_level_draw_result,conservation_auction_allocation,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
7,algorithm_status,,NOT_SCORABLE_AUCTIONED_CONSERVATION,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
7,qa_status,,OK,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
7,notes,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR Conservation permit is auctioned/organization allocation; not a scorable draw result.,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
8,draw_design,Allocation / Reference Only,Organizations,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
8,record_type,point_level_draw_result,conservation_auction_allocation,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
8,algorithm_status,,NOT_SCORABLE_AUCTIONED_CONSERVATION,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
8,qa_status,,OK,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
8,notes,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR Conservation permit is auctioned/organization allocation; not a scorable draw result.,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
9,draw_design,Allocation / Reference Only,Organizations,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
9,record_type,point_level_draw_result,conservation_auction_allocation,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
9,algorithm_status,,NOT_SCORABLE_AUCTIONED_CONSERVATION,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
9,qa_status,,OK,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
9,notes,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR Conservation permit is auctioned/organization allocation; not a scorable draw result.,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
10,draw_design,Allocation / Reference Only,Organizations,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
10,record_type,point_level_draw_result,conservation_auction_allocation,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
10,algorithm_status,,NOT_SCORABLE_AUCTIONED_CONSERVATION,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
10,qa_status,,OK,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
10,notes,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR Conservation permit is auctioned/organization allocation; not a scorable draw result.,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
11,draw_design,Allocation / Reference Only,Organizations,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
11,record_type,point_level_draw_result,conservation_auction_allocation,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
11,algorithm_status,,NOT_SCORABLE_AUCTIONED_CONSERVATION,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
11,qa_status,,OK,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
11,notes,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR Conservation permit is auctioned/organization allocation; not a scorable draw result.,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
12,draw_design,Allocation / Reference Only,Organizations,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
12,record_type,point_level_draw_result,conservation_auction_allocation,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
12,algorithm_status,,NOT_SCORABLE_AUCTIONED_CONSERVATION,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
12,qa_status,,OK,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
12,notes,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR Conservation permit is auctioned/organization allocation; not a scorable draw result.,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
13,draw_design,Allocation / Reference Only,Organizations,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
13,record_type,point_level_draw_result,conservation_auction_allocation,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
13,algorithm_status,,NOT_SCORABLE_AUCTIONED_CONSERVATION,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
13,qa_status,,OK,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
13,notes,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR Conservation permit is auctioned/organization allocation; not a scorable draw result.,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
14,draw_design,Allocation / Reference Only,Organizations,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
14,record_type,point_level_draw_result,conservation_auction_allocation,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
14,algorithm_status,,NOT_SCORABLE_AUCTIONED_CONSERVATION,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
14,qa_status,,OK,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
14,notes,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR Conservation permit is auctioned/organization allocation; not a scorable draw result.,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
15,draw_design,Allocation / Reference Only,Organizations,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
15,record_type,point_level_draw_result,conservation_auction_allocation,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
15,algorithm_status,,NOT_SCORABLE_AUCTIONED_CONSERVATION,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
15,qa_status,,OK,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
15,notes,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR Conservation permit is auctioned/organization allocation; not a scorable draw result.,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
16,draw_design,Allocation / Reference Only,Organizations,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
16,record_type,point_level_draw_result,conservation_auction_allocation,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
16,algorithm_status,,NOT_SCORABLE_AUCTIONED_CONSERVATION,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
16,qa_status,,OK,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
16,notes,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR Conservation permit is auctioned/organization allocation; not a scorable draw result.,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
17,draw_design,Allocation / Reference Only,Organizations,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
17,record_type,point_level_draw_result,conservation_auction_allocation,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
17,algorithm_status,,NOT_SCORABLE_AUCTIONED_CONSERVATION,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
17,qa_status,,OK,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
17,notes,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR Conservation permit is auctioned/organization allocation; not a scorable draw result.,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
18,draw_design,Allocation / Reference Only,Organizations,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
18,record_type,point_level_draw_result,conservation_auction_allocation,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
18,algorithm_status,,NOT_SCORABLE_AUCTIONED_CONSERVATION,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
18,qa_status,,OK,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
18,notes,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR Conservation permit is auctioned/organization allocation; not a scorable draw result.,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
19,draw_design,Allocation / Reference Only,Organizations,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
19,record_type,point_level_draw_result,conservation_auction_allocation,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
19,algorithm_status,,NOT_SCORABLE_AUCTIONED_CONSERVATION,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
19,qa_status,,OK,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
19,notes,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR Conservation permit is auctioned/organization allocation; not a scorable draw result.,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
20,draw_design,Allocation / Reference Only,Organizations,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
20,record_type,point_level_draw_result,conservation_auction_allocation,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
20,algorithm_status,,NOT_SCORABLE_AUCTIONED_CONSERVATION,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
20,qa_status,,OK,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
20,notes,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR Conservation permit is auctioned/organization allocation; not a scorable draw result.,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
21,draw_design,Allocation / Reference Only,Organizations,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
21,record_type,point_level_draw_result,conservation_auction_allocation,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
21,algorithm_status,,NOT_SCORABLE_AUCTIONED_CONSERVATION,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
21,qa_status,,OK,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
21,notes,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR Conservation permit is auctioned/organization allocation; not a scorable draw result.,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
22,draw_design,Allocation / Reference Only,Organizations,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
22,record_type,point_level_draw_result,conservation_auction_allocation,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
22,algorithm_status,,NOT_SCORABLE_AUCTIONED_CONSERVATION,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
22,qa_status,,OK,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
22,notes,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR Conservation permit is auctioned/organization allocation; not a scorable draw result.,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
23,draw_design,Allocation / Reference Only,Organizations,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
23,record_type,point_level_draw_result,conservation_auction_allocation,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
23,algorithm_status,,NOT_SCORABLE_AUCTIONED_CONSERVATION,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
23,qa_status,,OK,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
23,notes,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR Conservation permit is auctioned/organization allocation; not a scorable draw result.,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
24,draw_design,Allocation / Reference Only,Organizations,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
24,record_type,point_level_draw_result,conservation_auction_allocation,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
24,algorithm_status,,NOT_SCORABLE_AUCTIONED_CONSERVATION,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
24,qa_status,,OK,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
24,notes,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR Conservation permit is auctioned/organization allocation; not a scorable draw result.,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
25,draw_design,Allocation / Reference Only,Organizations,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
25,record_type,point_level_draw_result,conservation_auction_allocation,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
25,algorithm_status,,NOT_SCORABLE_AUCTIONED_CONSERVATION,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
25,qa_status,,OK,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
25,notes,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR Conservation permit is auctioned/organization allocation; not a scorable draw result.,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
26,draw_design,Allocation / Reference Only,Organizations,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
26,record_type,point_level_draw_result,conservation_auction_allocation,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
26,algorithm_status,,NOT_SCORABLE_AUCTIONED_CONSERVATION,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
26,qa_status,,OK,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
26,notes,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR Conservation permit is auctioned/organization allocation; not a scorable draw result.,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
27,draw_design,Allocation / Reference Only,Organizations,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
27,record_type,point_level_draw_result,conservation_auction_allocation,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
27,algorithm_status,,NOT_SCORABLE_AUCTIONED_CONSERVATION,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
27,qa_status,,OK,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
27,notes,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR Conservation permit is auctioned/organization allocation; not a scorable draw result.,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
28,draw_design,Allocation / Reference Only,Organizations,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
28,record_type,point_level_draw_result,conservation_auction_allocation,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
28,algorithm_status,,NOT_SCORABLE_AUCTIONED_CONSERVATION,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
28,qa_status,,OK,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
28,notes,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR Conservation permit is auctioned/organization allocation; not a scorable draw result.,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
29,draw_design,Allocation / Reference Only,Organizations,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
29,record_type,point_level_draw_result,conservation_auction_allocation,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
29,algorithm_status,,NOT_SCORABLE_AUCTIONED_CONSERVATION,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
29,qa_status,,OK,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
29,notes,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR Conservation permit is auctioned/organization allocation; not a scorable draw result.,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
30,draw_design,Allocation / Reference Only,Organizations,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
30,record_type,point_level_draw_result,conservation_auction_allocation,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
30,algorithm_status,,NOT_SCORABLE_AUCTIONED_CONSERVATION,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
30,qa_status,,OK,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
30,notes,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR Conservation permit is auctioned/organization allocation; not a scorable draw result.,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
31,draw_design,Allocation / Reference Only,Organizations,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
31,record_type,point_level_draw_result,conservation_auction_allocation,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
31,algorithm_status,,NOT_SCORABLE_AUCTIONED_CONSERVATION,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
31,qa_status,,OK,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
31,notes,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR Conservation permit is auctioned/organization allocation; not a scorable draw result.,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
32,draw_design,Allocation / Reference Only,Organizations,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
32,record_type,point_level_draw_result,conservation_auction_allocation,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
