hunt_code,unresolved_sources,classification,notes,database_present,database_hunt_name,database_species,database_sex_type,database_weapon,database_hunt_type,database_hunt_class,database_boundary_id,db_allotment_res,db_allotment_nr,db_allotment_total,db_allotment_status,db_allotment_source,db_conservation_total,db_conservation_source,core_reconciled_bucket,core_resolution_status,core_likely_cause,core_live_shape_status,permit_confidence,permit_winner_source,permit_recommended_res,permit_recommended_nr,permit_recommended_total,permit_conflicting_sources,permit_database_alignment,remaining_split_bucket,remaining_matching_sources,remaining_matching_source_count,species_truth_families,conservation_table_present,conservation_table_total,conservation_table_hunt_names,conservation_table_comparison_statuses,conservation_table_row_count
BR1007,CORE_REVIEW|PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,REMAINING_UNRESOLVED_REVIEW,Still present in remaining-after-3-source unresolved split.,yes,Black Bear Pursuit - Resident,Black Bear,Either Sex,Pursuit Only,Pursuit,Pursuit,5003,,,,,,,,CURRENT_PLANNER_EXTRA_REVIEW,REVIEW,OTHER_CURRENT_PLANNER_NOT_IN_2025_BIBLE,LIVE_DWR_NO_QUOTA_PUBLISHED,NO_PERMIT_VALUE,NONE,,,,,NOT_COMPARED,true_no_permit_value,,0,,no,,,,0
BR1018,CORE_REVIEW|PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,REMAINING_UNRESOLVED_REVIEW,Still present in remaining-after-3-source unresolved split.,yes,Black Bear Pursuit - Nonresident,Black Bear,Either Sex,Pursuit Only,Pursuit,,5013,,,,,,,,CURRENT_PLANNER_EXTRA_REVIEW,REVIEW,OTHER_CURRENT_PLANNER_NOT_IN_2025_BIBLE,LIVE_DWR_NO_QUOTA_PUBLISHED,NO_PERMIT_VALUE,NONE,,,,,NOT_COMPARED,true_no_permit_value,,0,,no,,,,0
BR7008,CORE_REVIEW,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,La Sal,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Spring,,684,49,5,54,HISTORICAL_2025_ONLY_NOT_ACTIVE_2026,DWR_HUNT_PLANNER_HaNumber_MATCHED_PERMITS_2026,,,POSSIBLE_DROPPED_OR_NOT_EXPOSED_FROM_2025,REVIEW,DROPPED_OR_NOT_EXPOSED_IN_CURRENT_TABLE,,,,,,,,,,,,,no,,,,0
BR7019,CORE_REVIEW|PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,DATABASE_REFERENCE_NOT_LIVE,DATABASE row is not exposed by the fresh live DWR table.,yes,Chalk Creek/East Canyon/Morgan-South Rich,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Spring,,610,,,,HISTORICAL_2025_ONLY_NOT_ACTIVE_2026,,,,DATABASE_REFERENCE_NOT_LIVE_TABLE,REVIEW,DATABASE_REFERENCE_OR_ARCHIVE_REVIEW,,NO_PERMIT_VALUE,NONE,,,,,NOT_COMPARED,true_no_permit_value,,0,,no,,,,0
BR7021,CORE_REVIEW,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,Dolores Triangle,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Spring,,108,2,0,2,LIVE_DWR_RES_NR_SPLIT,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,CURRENT_PLANNER_EXTRA_WITH_MULTI_SOURCE_PERMIT_SUPPORT,REVIEW,OTHER_CURRENT_PLANNER_NOT_IN_2025_BIBLE,LIVE_DWR_RES_NR_SPLIT,,,,,,,,,,,,no,,,,0
BR7022,CORE_REVIEW,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,La Sal Mtns,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Spring,,617,40,3,43,LIVE_DWR_RES_NR_SPLIT,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,CURRENT_PLANNER_EXTRA_WITH_MULTI_SOURCE_PERMIT_SUPPORT,REVIEW,OTHER_CURRENT_PLANNER_NOT_IN_2025_BIBLE,LIVE_DWR_RES_NR_SPLIT,,,,,,,,,,,,no,,,,0
BR7108,CORE_REVIEW,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,La Sal,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Summer,,684,25,2,27,HISTORICAL_2025_ONLY_NOT_ACTIVE_2026,DWR_HUNT_PLANNER_HaNumber_MATCHED_PERMITS_2026,,,POSSIBLE_DROPPED_OR_NOT_EXPOSED_FROM_2025,REVIEW,DROPPED_OR_NOT_EXPOSED_IN_CURRENT_TABLE,,,,,,,,,,,,,no,,,,0
BR7126,CORE_REVIEW,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,Dolores Triangle,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Summer,,108,6,0,6,LIVE_DWR_RES_NR_SPLIT,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,CURRENT_PLANNER_EXTRA_WITH_MULTI_SOURCE_PERMIT_SUPPORT,REVIEW,OTHER_CURRENT_PLANNER_NOT_IN_2025_BIBLE,LIVE_DWR_RES_NR_SPLIT,,,,,,,,,,,,no,,,,0
BR7127,CORE_REVIEW,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,La Sal Mtns,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Summer,,617,25,2,27,LIVE_DWR_RES_NR_SPLIT,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,CURRENT_PLANNER_EXTRA_WITH_MULTI_SOURCE_PERMIT_SUPPORT,REVIEW,OTHER_CURRENT_PLANNER_NOT_IN_2025_BIBLE,LIVE_DWR_RES_NR_SPLIT,,,,,,,,,,,,no,,,,0
BR7208,CORE_REVIEW,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,La Sal,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Fall,,684,6,,6,HISTORICAL_2025_ONLY_NOT_ACTIVE_2026,DWR_HUNT_PLANNER_HaNumber_MATCHED_PERMITS_2026,,,POSSIBLE_DROPPED_OR_NOT_EXPOSED_FROM_2025,REVIEW,DROPPED_OR_NOT_EXPOSED_IN_CURRENT_TABLE,,,,,,,,,,,,,no,,,,0
BR7238,CORE_REVIEW,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,Dolores Triangle,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Fall,,108,2,0,2,LIVE_DWR_RES_NR_SPLIT,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,CURRENT_PLANNER_EXTRA_WITH_MULTI_SOURCE_PERMIT_SUPPORT,REVIEW,OTHER_CURRENT_PLANNER_NOT_IN_2025_BIBLE,LIVE_DWR_RES_NR_SPLIT,,,,,,,,,,,,no,,,,0
BR7239,CORE_REVIEW,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,La Sal Mtns,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Fall,,617,6,0,6,LIVE_DWR_RES_NR_SPLIT,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,CURRENT_PLANNER_EXTRA_WITH_MULTI_SOURCE_PERMIT_SUPPORT,REVIEW,OTHER_CURRENT_PLANNER_NOT_IN_2025_BIBLE,LIVE_DWR_RES_NR_SPLIT,,,,,,,,,,,,no,,,,0
BR7307,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,CONSERVATION_TABLE_DB_MATCH,Conservation source matches DATABASE conservation field.,yes,La Sal,Black Bear,Either Sex,Multiseason,Multiseason - Conservation,,684,,,4,TOTAL_ONLY,Utah DWR 2025-2027 Conservation Permit Database,4,2026 CONSERVATION  PERMITS.pdf (rows by hunt code); ingested 2026-05-30,,,,,REVIEW_REQUIRED,NONE_EXTERNAL_DATABASE_REFERENCE_ONLY,,,,,DATABASE_HAS_VALUE_NO_RECOMMENDATION,database_only_external_missing,,0,CONSERVATION_PERMITS_DIRECT,yes,4,La Sal,SOURCE_MATCHES_DATABASE,1
BR7324,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,CONSERVATION_TABLE_DB_MATCH,Conservation source matches DATABASE conservation field.,yes,Chalk Creek/East Canyon/Morgan-South Rich,Black Bear,Either Sex,Multiseason,Conservation,,610,,,1,,,1,2026 CONSERVATION  PERMITS.pdf (rows by hunt code); ingested 2026-05-30,,,,,REVIEW_REQUIRED,NONE_EXTERNAL_DATABASE_REFERENCE_ONLY,,,,,DATABASE_HAS_VALUE_NO_RECOMMENDATION,database_only_external_missing,,0,CONSERVATION_PERMITS_DIRECT,yes,1,Chalk Creek/East Canyon/Morgan-South Rich,SOURCE_MATCHES_DATABASE,1
BR7326,CORE_REVIEW,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,La Sal Mtns,Black Bear,Either Sex,Multiseason,Limited Entry - Multiseason,,617,13,1,14,LIVE_DWR_RES_NR_SPLIT,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,CURRENT_PLANNER_EXTRA_WITH_MULTI_SOURCE_PERMIT_SUPPORT,REVIEW,OTHER_CURRENT_PLANNER_NOT_IN_2025_BIBLE,LIVE_DWR_RES_NR_SPLIT,,,,,,,,,,,,no,,,,0
CG9999,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,CLOSED_CURRENT_STATEWIDE_UNLIMITED,CG9999 is current statewide/unlimited cougar; no numbered quota expected.,yes,Cougar - Statewide,Cougar,Either Sex,Any Legal Weapon,Statewide,Statewide Permit,5107,,,unlimited,UNLIMITED_PERMITS,Utah DWR Hunt Planner,,,,,,,NO_PERMIT_VALUE,NONE,,,,,NOT_COMPARED,true_no_permit_value,,0,,no,,,,0
DA1009,REMAINING_AFTER_3_SOURCE_RULE,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,"Pine Valley, Enterprise",Deer,Antlerless,Any Legal Weapon,General Season,Antlerless,169,,,25,LIVE_DWR_TOTAL_ONLY,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,,,,,,,,,,,,true_source_conflicts,HANUMBER,1,DEER_DOE_DIRECT,no,,,,0
DA1018,REMAINING_AFTER_3_SOURCE_RULE,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,"Pine Valley, New Harmony",Deer,Antlerless,"Archery, Muzzleloader, Shotgun",General Season,Antlerless,840,,,20,LIVE_DWR_TOTAL_ONLY,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,,,,,,,,,,,,true_source_conflicts,HANUMBER,1,DEER_DOE_DIRECT,no,,,,0
DA1033,REMAINING_AFTER_3_SOURCE_RULE,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,"San Juan, Monticello",Deer,Antlerless,Archery,General Season,Antlerless,23,,,5,LIVE_DWR_TOTAL_ONLY,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,,,,,,,,,,,,true_source_conflicts,HANUMBER,1,DEER_DOE_DIRECT,no,,,,0
DA1044,CORE_REVIEW,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,Myton,Deer,Antlerless,Any Legal Weapon,General Season,,864,,,50,HISTORICAL_2025_ONLY_NOT_ACTIVE_2026,DWR_HUNT_PLANNER_HaNumber_MATCHED_PERMITS_2026,,,DATABASE_REFERENCE_NOT_LIVE_TABLE,REVIEW,DATABASE_REFERENCE_OR_ARCHIVE_REVIEW,,,,,,,,,,,,,no,,,,0
DA1051,CORE_REVIEW,DATABASE_MISSING,Hunt code is unresolved and is not present in DATABASE.csv.,no,,,,,,,,,,,,,,,CURRENT_PLANNER_EXTRA_REVIEW,REVIEW,OTHER_CURRENT_PLANNER_NOT_IN_2025_BIBLE,LIVE_DWR_TOTAL_ONLY,,,,,,,,,,,,no,,,,0
DB0001,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,REMAINING_UNRESOLVED_REVIEW,Still present in remaining-after-3-source unresolved split.,yes,Southeastern Navajo Buck Deer,Deer,Buck,Any Legal Weapon,Tribal,Tribal,866,,,,,,,,,,,,NO_PERMIT_VALUE,NONE,,,,,NOT_COMPARED,true_no_permit_value,,0,DEER_BUCK_DB_DIRECT,no,,,,0
DB0002,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,REMAINING_UNRESOLVED_REVIEW,Still present in remaining-after-3-source unresolved split.,yes,Southeastern Navajo Buck Deer,Deer,Buck,Archery,Tribal,Tribal,866,,,,,,,,,,,,NO_PERMIT_VALUE,NONE,,,,,NOT_COMPARED,true_no_permit_value,,0,DEER_BUCK_DB_DIRECT,no,,,,0
DB0003,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,REMAINING_UNRESOLVED_REVIEW,Still present in remaining-after-3-source unresolved split.,yes,Southeastern Navajo Buck Deer,Deer,Buck,Muzzleloader,Tribal,Tribal,866,,,,,,,,,,,,NO_PERMIT_VALUE,NONE,,,,,NOT_COMPARED,true_no_permit_value,,0,DEER_BUCK_DB_DIRECT,no,,,,0
DB0004,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,REMAINING_UNRESOLVED_REVIEW,Still present in remaining-after-3-source unresolved split.,yes,Southern Navajo Buck Deer,Deer,Buck,Any Legal Weapon,Tribal,Tribal,865,,,,,,,,,,,,NO_PERMIT_VALUE,NONE,,,,,NOT_COMPARED,true_no_permit_value,,0,DEER_BUCK_DB_DIRECT,no,,,,0
DB0005,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,REMAINING_UNRESOLVED_REVIEW,Still present in remaining-after-3-source unresolved split.,yes,Southern Navajo Buck Deer,Deer,Buck,Archery,Tribal,Tribal,865,,,,,,,,,,,,NO_PERMIT_VALUE,NONE,,,,,NOT_COMPARED,true_no_permit_value,,0,DEER_BUCK_DB_DIRECT,no,,,,0
DB0006,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,REMAINING_UNRESOLVED_REVIEW,Still present in remaining-after-3-source unresolved split.,yes,Southern Navajo Buck Deer,Deer,Buck,Muzzleloader,Tribal,Tribal,865,,,,,,,,,,,,NO_PERMIT_VALUE,NONE,,,,,NOT_COMPARED,true_no_permit_value,,0,DEER_BUCK_DB_DIRECT,no,,,,0
DB0007,CORE_REVIEW,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,Buck Deer - Statewide Permit,Deer,Buck,Any Legal Weapon,Statewide,Statewide Permit,5108,,,1,,,,,SPORTSMAN_CONTINUITY_LAYER_REVIEW,REVIEW,SPORTSMAN_CURRENT_PLANNER,LIVE_DWR_NO_QUOTA_PUBLISHED,,,,,,,,,,,DEER_BUCK_DB_DIRECT,no,,,,0
DB0008,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Extended Archery Deer,Deer,Hunters Choice,Archery,Extended Archery,Extended Archery,5109,,,2000,LIVE_DWR_TOTAL_ONLY,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,,,,,REVIEW_SOURCE_CONFLICT,HANUMBER,,,2000,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,true_source_conflicts,HANUMBER|HUNTTABLE,2,,no,,,,0
DB0009,CORE_REVIEW|PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,REMAINING_UNRESOLVED_REVIEW,Still present in remaining-after-3-source unresolved split.,yes,Antelope Island - Conservation/Expo,Deer,Buck,Any Legal Weapon,Premium Limited Entry,Premium Limited Entry,1,,,,,,,,SEPARATE_CONSERVATION_LAYER,REVIEW,CONSERVATION_CURRENT_PLANNER,LIVE_DWR_NO_QUOTA_PUBLISHED,NO_PERMIT_VALUE,NONE,,,,,NOT_COMPARED,true_no_permit_value,,0,DEER_BUCK_DB_DIRECT,no,,,,0
DB0010,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,REMAINING_UNRESOLVED_REVIEW,Still present in remaining-after-3-source unresolved split.,yes,Southern Paiute Buck Deer (early),Deer,Buck,Any Legal Weapon,Tribal,Tribal,865,,,,,,,,,,,,NO_PERMIT_VALUE,NONE,,,,,NOT_COMPARED,true_no_permit_value,,0,DEER_BUCK_DB_DIRECT,no,,,,0
DB0011,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,REMAINING_UNRESOLVED_REVIEW,Still present in remaining-after-3-source unresolved split.,yes,Southern Paiute Buck Deer,Deer,Buck,Archery,Tribal,Tribal,865,,,,,,,,,,,,NO_PERMIT_VALUE,NONE,,,,,NOT_COMPARED,true_no_permit_value,,0,DEER_BUCK_DB_DIRECT,no,,,,0
DB0012,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,REMAINING_UNRESOLVED_REVIEW,Still present in remaining-after-3-source unresolved split.,yes,Southern Paiute Buck Deer,Deer,Buck,Muzzleloader,Tribal,Tribal,865,,,,,,,,,,,,NO_PERMIT_VALUE,NONE,,,,,NOT_COMPARED,true_no_permit_value,,0,DEER_BUCK_DB_DIRECT,no,,,,0
DB0013,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,REMAINING_UNRESOLVED_REVIEW,Still present in remaining-after-3-source unresolved split.,yes,Southern Paiute Buck Deer (late),Deer,Buck,Any Legal Weapon,Tribal,Tribal,865,,,,,,,,,,,,NO_PERMIT_VALUE,NONE,,,,,NOT_COMPARED,true_no_permit_value,,0,DEER_BUCK_DB_DIRECT,no,,,,0
DB1001,PERMIT_UNRESOLVED,CONSERVATION_TABLE_DB_MATCH,Conservation source matches DATABASE conservation field.,yes,Paunsaugunt Premium,Deer,Buck,Archery,Premium Limited Entry,Premium Limited Entry,163,26,3,29,LIVE_DWR_RES_NR_SPLIT,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,1,2026 CONSERVATION  PERMITS.pdf (rows by hunt code); ingested 2026-05-30,,,,,REVIEW_SOURCE_CONFLICT,HANUMBER,26,3,29,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,,,,CONSERVATION_PERMITS_DIRECT|DEER_BUCK_DB_DIRECT,yes,1,Paunsaugunt,SOURCE_DIFFERS_FROM_CURRENT_RECONCILIATION,1
