from_report_year,to_report_year,from_model_year,to_model_year,hunt_code,species,unit,weapon,reviewed_status,source_evidence,source_pages,target_source_evidence,target_source_pages,decision_basis
2020,2021,2021,2022,DB1052,Buck Deer,Henry Mtns,Muzzleloader,REVIEWED_DISCONTINUED_AFTER_2020_NO_SUCCESSOR,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__L.E. DEER.pdf,51|52,,,2021 big-game application guide explicitly states all Henry Mtns management buck deer hunts were discontinued for the 2021 season.
2020,2021,2021,2022,DS6619,Desert Bighorn Sheep,Desert Bighorn Sheep Archery -Zion,Archery,REVIEWED_DISCONTINUED_AFTER_2020_NO_SUCCESSOR,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__O.I.L. DESERT BIGHORN SHEEP.pdf,14|522,,,2020 application-guide and harvest-confirmed desert bighorn Zion archery row; absent from 2021 checks; no safe successor.
2020,2021,2021,2022,MA1004,Doe Pronghorn,"North Slope, Summit",Any Legal Weapon,REVIEWED_DISCONTINUED_AFTER_2020_NO_SUCCESSOR,2020/2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf,233,,,2020 doe pronghorn harvest-confirmed; absent from 2021 regulation/year-document checks; no safe 2021 successor.
2020,2021,2021,2022,PB5333,Buck Pronghorn,"Plateau, Parker Mtn",Archery,REVIEWED_DISCONTINUED_AFTER_2020_NO_SUCCESSOR,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__L.E. PRONGHORN.pdf,456|79,,,2021 big-game application guide explicitly states Parker Mtn pronghorn hunts were discontinued for the 2021 season; do not crosswalk to Plateau Highlands.
2020,2021,2021,2022,PB5334,Buck Pronghorn,"Plateau, Parker Mtn",Any Legal Weapon,REVIEWED_DISCONTINUED_AFTER_2020_NO_SUCCESSOR,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__L.E. PRONGHORN.pdf,457|80,,,2021 big-game application guide explicitly states Parker Mtn pronghorn hunts were discontinued for the 2021 season; do not crosswalk to Plateau Highlands.
2020,2021,2021,2022,PB5335,Buck Pronghorn,"Limited Entry Muzzle Buck Pronghorn -Plateau , Parker Mtn",Muzzleloader,REVIEWED_DISCONTINUED_AFTER_2020_NO_SUCCESSOR,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__L.E. PRONGHORN.pdf,458|81,,,2021 big-game application guide explicitly states Parker Mtn pronghorn hunts were discontinued for the 2021 season; do not crosswalk to Plateau Highlands.
2020,2021,2021,2022,PD1001,Pronghorn,Cache/morgan-south Rich/ogden,Any Legal Weapon,REVIEWED_DISCONTINUED_AFTER_2020_NO_SUCCESSOR,2020/2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,184|195,,,2020 pronghorn doe harvest-confirmed; absent from 2021 regulation/year-document checks; no safe 2021 successor.
2020,2021,2021,2022,PD1028,Pronghorn,"San Rafael, North-mounds Reef",Any Legal Weapon,REVIEWED_DISCONTINUED_AFTER_2020_NO_SUCCESSOR,2020/2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,202|213,,,2020 pronghorn doe harvest-confirmed; absent from 2021 regulation/year-document checks; no safe 2021 successor.
2020,2021,2021,2022,PD1029,Pronghorn,"San Rafael, North-mounds Reef",Any Legal Weapon,REVIEWED_DISCONTINUED_AFTER_2020_NO_SUCCESSOR,2020/2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,203|214,,,2020 pronghorn doe harvest-confirmed; absent from 2021 regulation/year-document checks; no safe 2021 successor.
2020,2021,2021,2022,PD1040,Pronghorn,"South Slope, Bonanza/diamond Mtn",Any Legal Weapon,REVIEWED_DISCONTINUED_AFTER_2020_NO_SUCCESSOR,2020/2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,214|225,,,2020 pronghorn doe harvest-confirmed; absent from 2021 regulation/year-document checks; no safe 2021 successor.
2020,2021,2021,2022,RS6702,Rocky Mountain Bighorn Sheep,"Box Elder, Pilot Mtn",Any Legal Weapon,REVIEWED_DISCONTINUED_AFTER_2020_NO_SUCCESSOR,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__O.I.L. ROCKY MTN SHEEP.pdf,3|530,,,2020 application-guide and harvest-confirmed Rocky Mountain bighorn Box Elder Pilot Mtn row; absent from 2021 checks; no safe successor.
