from_report_year,to_report_year,from_model_year,to_model_year,hunt_code,species,unit,weapon,reviewed_status,source_evidence,source_pages,target_source_evidence,target_source_pages,decision_basis
2021,2022,2022,2023,CG9999,Cougar 2023*,Statewide Sportsman,Sportsman,REVIEWED_SOURCE_YEAR_ARTIFACT_NOT_TRUE_DROP,2021/2021_PERMITS=2022_MODEL__SPORTSMAN DRAW RESULTS.pdf,1,,,Sportsman Cougar 2023* row appears in the 2021 BIBLE source set but statewide CG9999 is not the 2021->2022 cougar successor; rule says statewide cougar enters later.
2021,2022,2022,2023,DA1000,Antlerless Deer,"Beaver, Circleville North",Any Legal Weapon,REVIEWED_DISCONTINUED_AFTER_2021_NO_2022_ANTLERLESS_SUCCESSOR,2021/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,2|3,C:/Users/tyler/Desktop/BIBLE HUNT CODES/2022/.pdf/2022_PERMITS=2023_MODEL__ANTLERLESS DRAW RESULTS.pdf|C:/Users/tyler/Desktop/BIBLE HUNT CODES/2023/.pdf/2023_PERMITS=2024_MODEL__ANTLERLESS DRAW RESULTS.pdf,,"2021 antlerless PDF confirms DA1000; 2022 and 2023 antlerless draw-results PDFs have no exact code and no same-unit successor for Beaver, Circleville North."
2021,2022,2022,2023,DA1004,Antlerless Deer,"Mt Dutton, Circleville South",Any Legal Weapon,REVIEWED_DISCONTINUED_AFTER_2021_NO_2022_ANTLERLESS_SUCCESSOR,2021/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,6|7,C:/Users/tyler/Desktop/BIBLE HUNT CODES/2022/.pdf/2022_PERMITS=2023_MODEL__ANTLERLESS DRAW RESULTS.pdf|C:/Users/tyler/Desktop/BIBLE HUNT CODES/2023/.pdf/2023_PERMITS=2024_MODEL__ANTLERLESS DRAW RESULTS.pdf,,"2021 antlerless PDF confirms DA1004; 2022 and 2023 antlerless draw-results PDFs have no exact code and no same-unit successor for Mt Dutton, Circleville South."
2021,2022,2022,2023,DA1017,Antlerless Deer,"Pine Valley, Enterprise",Any Legal Weapon,REVIEWED_SUCCESSOR_BY_2022_ANTLERLESS_DRAW_RESULTS,2021/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,12|13,C:/Users/tyler/Desktop/BIBLE HUNT CODES/2022/.pdf/2022_PERMITS=2023_MODEL__ANTLERLESS DRAW RESULTS.pdf,6,"2021 antlerless PDF confirms DA1017; 2022 antlerless draw-results PDF confirms reviewed successor DA1009 with exact same title/unit/weapon: Pine Valley, Enterprise any legal weapon. 2023 antlerless PDF confirms DA1009 persists."
2021,2022,2022,2023,DA1029,Antlerless Deer,"Nine Mile, Green River Valley",Archery,REVIEWED_SUCCESSOR_BY_2022_ANTLERLESS_DRAW_RESULTS,2021/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,17|18,C:/Users/tyler/Desktop/BIBLE HUNT CODES/2022/.pdf/2022_PERMITS=2023_MODEL__ANTLERLESS DRAW RESULTS.pdf,19,"2021 antlerless PDF confirms DA1029; 2022 antlerless draw-results PDF confirms reviewed successor DA1041 for the same unit: Nine Mile, Green River Valley, with weapon structure changed from archery to any legal weapon. 2023 antlerless PDF confirms DA1041 persists."
2021,2022,2022,2023,DB1259,Buck Deer,Lone Tree Tunnel Hollow,Any Legal Weapon,REVIEWED_SUCCESSOR_BY_IDENTITY_AND_BOUNDARY,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__L.E. DEER.pdf,120|121,2022/2022_PERMITS=2023_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2022/2022_PERMITS=2023_MODEL__L.E. DEER.pdf,188|189,"Reviewed safe successor: Tunnel Hollow/Lone Tree Tunnel Hollow CWMU name family, same boundary 569, buck deer, and any legal weapon. Canonical class/season shifts from CWMU contact-operator to Limited Entry blank-season in 2022 are treated as CWMU normalization artifacts, supported by later reviewed return from DB1340 to DB1259."
2021,2022,2022,2023,DS6612,Desert Bighorn Sheep,Desert Bighorn Sheep -Zion,Any Legal Weapon,REVIEWED_SOURCE_YEAR_ARTIFACT_NOT_TRUE_DROP,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__O.I.L. DESERT BIGHORN SHEEP.pdf,13|526,,,"Source file is labeled 2021_PERMITS=2021_MODEL inside the 2021 folder; 2022 big-game app guide confirms Zion as DS6611, so DS6612 is treated as a source-year artifact rather than a true 2021 drop."
2021,2022,2022,2023,EB3535,Bull Elk,Lone Tree Tunnel Hollow,Any Legal Weapon,REVIEWED_SUCCESSOR_BY_IDENTITY_AND_BOUNDARY,2021/2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__L.E. ELK.pdf,155|338,2022/2022_PERMITS=2023_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2022/2022_PERMITS=2023_MODEL__L.E. ELK.pdf,189|379,"Reviewed safe successor: Tunnel Hollow/Lone Tree Tunnel Hollow CWMU name family, same boundary 569, bull elk, any legal weapon, and exact-code EB3614 continuity after 2022."
2021,2022,2022,2023,PD1013,Pronghorn,Rabbit Creek,Any Legal Weapon,REVIEWED_DISCONTINUED_AFTER_2021_NO_2022_ANTLERLESS_SUCCESSOR,2021/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,185|197,C:/Users/tyler/Desktop/BIBLE HUNT CODES/2022/.pdf/2022_PERMITS=2023_MODEL__ANTLERLESS DRAW RESULTS.pdf|C:/Users/tyler/Desktop/BIBLE HUNT CODES/2023/.pdf/2023_PERMITS=2024_MODEL__ANTLERLESS DRAW RESULTS.pdf,,2021 antlerless PDF confirms PD1013; 2022 and 2023 antlerless draw-results PDFs have no exact code and no same-unit successor for CWMU Rabbit Creek doe pronghorn.
2021,2022,2022,2023,PD1018,Pronghorn,Mt Dutton/paunsaugunt,Any Legal Weapon,REVIEWED_DISCONTINUED_AFTER_2021_NO_2022_ANTLERLESS_SUCCESSOR,2021/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,188|201,C:/Users/tyler/Desktop/BIBLE HUNT CODES/2022/.pdf/2022_PERMITS=2023_MODEL__ANTLERLESS DRAW RESULTS.pdf|C:/Users/tyler/Desktop/BIBLE HUNT CODES/2023/.pdf/2023_PERMITS=2024_MODEL__ANTLERLESS DRAW RESULTS.pdf,,2021 antlerless PDF confirms PD1018; 2022 and 2023 antlerless draw-results PDFs have no exact code and no same-unit successor for Mt Dutton/Paunsaugunt doe pronghorn.
2021,2022,2022,2023,PD1023,Pronghorn,George Creek,Any Legal Weapon,REVIEWED_DISCONTINUED_AFTER_2021_NO_2022_ANTLERLESS_SUCCESSOR,2021/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,190|203,C:/Users/tyler/Desktop/BIBLE HUNT CODES/2022/.pdf/2022_PERMITS=2023_MODEL__ANTLERLESS DRAW RESULTS.pdf|C:/Users/tyler/Desktop/BIBLE HUNT CODES/2023/.pdf/2023_PERMITS=2024_MODEL__ANTLERLESS DRAW RESULTS.pdf,,2021 antlerless PDF confirms PD1023; 2022 and 2023 antlerless draw-results PDFs have no exact code and no same-unit successor for CWMU George Creek doe pronghorn.
2021,2022,2022,2023,PD1027,Pronghorn,"Fillmore, Oak Creek South",Any Legal Weapon,REVIEWED_SUCCESSOR_BY_2022_ANTLERLESS_DRAW_RESULTS,2021/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,194|207,C:/Users/tyler/Desktop/BIBLE HUNT CODES/2022/.pdf/2022_PERMITS=2023_MODEL__ANTLERLESS DRAW RESULTS.pdf,208|209,"2021 antlerless PDF confirms PD1027; 2022 antlerless draw-results PDF confirms reviewed split successor PD1034|PD1035 with exact same title/unit/weapon: Fillmore, Oak Creek South. 2023 antlerless PDF confirms both rows persist."
2021,2022,2022,2023,PD1039,Pronghorn,"Panguitch Lake/zion, North",Any Legal Weapon,REVIEWED_DISCONTINUED_AFTER_2021_NO_2022_ANTLERLESS_SUCCESSOR,2021/2021_PERMITS=2022_MODEL__ANTLERLESS DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,204|217,C:/Users/tyler/Desktop/BIBLE HUNT CODES/2022/.pdf/2022_PERMITS=2023_MODEL__ANTLERLESS DRAW RESULTS.pdf|C:/Users/tyler/Desktop/BIBLE HUNT CODES/2023/.pdf/2023_PERMITS=2024_MODEL__ANTLERLESS DRAW RESULTS.pdf,,"2021 antlerless PDF confirms PD1039; 2022 and 2023 antlerless draw-results PDFs have no exact code and no same-unit successor for Panguitch Lake/Zion, North doe pronghorn."
