hunt_code,field_name,feeder_source_file,feeder_value,target_value,comparison_status,notes
BI6500,hunt_name,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/hunt_master_enriched.csv,,Antelope Island,REVIEW_REQUIRED,Feeder unavailable: LFS_POINTER_LOCAL_SOURCE_UNAVAILABLE
BI6500,species,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/hunt_master_enriched.csv,,Bison,REVIEW_REQUIRED,Feeder unavailable: LFS_POINTER_LOCAL_SOURCE_UNAVAILABLE
BI6500,weapon,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/hunt_master_enriched.csv,,Any Legal Weapon,REVIEW_REQUIRED,Feeder unavailable: LFS_POINTER_LOCAL_SOURCE_UNAVAILABLE
BI6500,hunt_type,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/hunt_master_enriched.csv,,Once-in-a-Lifetime,REVIEW_REQUIRED,Feeder unavailable: LFS_POINTER_LOCAL_SOURCE_UNAVAILABLE
BI6500,residency,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,Nonresident|Resident,Nonresident|Resident,MATCH,Feeder values preserved in target set.
BI6500,draw_pool,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,standard,standard,MATCH,Feeder values preserved in target set.
BI6500,points,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,0|1|10|11|12|13|...(+27 more),0|1|10|11|12|13|...(+27 more),MATCH,Feeder values preserved in target set.
BI6500,draw_outlook,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,GREEN LIGHT|LONG ODDS|MAY DRAW IN 5-10 YEARS,GREEN LIGHT|LONG ODDS|MAY DRAW IN 5-10 YEARS,MATCH,Feeder values preserved in target set.
BI6500,status,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,MAX POOL|RANDOM ONLY,MAX POOL|RANDOM ONLY,MATCH,Feeder values preserved in target set.
BI6500,trend,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,GREEN,GREEN,MATCH,Feeder values preserved in target set.
BI6500,display_odds_pct,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,0|0.2|40|99.4,0|20|40|99.4,IMPROVED_FROM_CANONICAL_SOURCE,Target diverges with overlapping values; canonical enhancement allowed.
BI6500,p_draw_mean,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,0|0.000007|0.000022|0.000029|0.000037|0.000044|...(+27 more),0|0.0001|0.0002|0.0024|0.4002|0.9938,IMPROVED_FROM_CANONICAL_SOURCE,Target diverges with overlapping values; canonical enhancement allowed.
BI6500,p_draw_p10,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,0|0.350228|0.94375,0|0.3502|0.9437,IMPROVED_FROM_CANONICAL_SOURCE,Target diverges with overlapping values; canonical enhancement allowed.
BI6500,p_draw_p90,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,0.05|0.050007|0.050022|0.050029|0.050037|0.050044|...(+27 more),0.05|0.0501|0.0502|0.0524|0.4502|1,IMPROVED_FROM_CANONICAL_SOURCE,Target diverges with overlapping values; canonical enhancement allowed.
BI6500,point_pool_zone,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,max_pool_guaranteed|random_pool,max_pool_guaranteed|random_pool,MATCH,Feeder values preserved in target set.
BI6500,guaranteed_at_2026,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,0|31,0|31,MATCH,Feeder values preserved in target set.
BI6500,permits_2026_res,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/hunt_unit_reference_linked.csv,2,2,MATCH,Feeder values preserved in target set.
BI6500,permits_2026_nr,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/hunt_unit_reference_linked.csv,0,0,MATCH,Feeder values preserved in target set.
BI6500,permits_2026_total,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/hunt_unit_reference_linked.csv,2,2,MATCH,Feeder values preserved in target set.
BI6500,harvest_success_pct,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/hunt_unit_reference_linked.csv,100,100,MATCH,Feeder values preserved in target set.
BI6500,average_days_hunted,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/hunt_unit_reference_linked.csv,1,1,MATCH,Feeder values preserved in target set.
BI6500,average_harvest_age,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,,,NOT_PRESENT_IN_FEEDER,No feeder value for this hunt_code/field.
BI6500,current_age_3yr_average,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,,,NOT_PRESENT_IN_FEEDER,No feeder value for this hunt_code/field.
BI6500,management_objective_type,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/hunt_master_enriched.csv,,,REVIEW_REQUIRED,Feeder unavailable: LFS_POINTER_LOCAL_SOURCE_UNAVAILABLE
BI6500,management_objective_range,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/hunt_master_enriched.csv,,,REVIEW_REQUIRED,Feeder unavailable: LFS_POINTER_LOCAL_SOURCE_UNAVAILABLE
BI6500,management_direction,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/hunt_master_enriched.csv,,,REVIEW_REQUIRED,Feeder unavailable: LFS_POINTER_LOCAL_SOURCE_UNAVAILABLE
BI6500,availability_status,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/draw_reality_engine.csv,,,NOT_PRESENT_IN_FEEDER,No feeder value for this hunt_code/field.
BI6500,dwr_result_display,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,~1 in 2.0 or 50.0%|~1 in 342.0 or 0.3%,0|20|45.45,IMPROVED_FROM_CANONICAL_SOURCE,Target diverges without overlap; mapped as canonical-improved per ownership rule.
BI6503,hunt_name,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/hunt_master_enriched.csv,,Henry Mtns,REVIEW_REQUIRED,Feeder unavailable: LFS_POINTER_LOCAL_SOURCE_UNAVAILABLE
BI6503,species,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/hunt_master_enriched.csv,,Bison,REVIEW_REQUIRED,Feeder unavailable: LFS_POINTER_LOCAL_SOURCE_UNAVAILABLE
BI6503,weapon,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/hunt_master_enriched.csv,,Any Legal Weapon,REVIEW_REQUIRED,Feeder unavailable: LFS_POINTER_LOCAL_SOURCE_UNAVAILABLE
BI6503,hunt_type,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/hunt_master_enriched.csv,,Once-in-a-Lifetime,REVIEW_REQUIRED,Feeder unavailable: LFS_POINTER_LOCAL_SOURCE_UNAVAILABLE
BI6503,residency,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,Nonresident|Resident,Nonresident|Resident,MATCH,Feeder values preserved in target set.
BI6503,draw_pool,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,standard,standard,MATCH,Feeder values preserved in target set.
BI6503,points,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,0|1|10|11|12|13|...(+27 more),0|1|10|11|12|13|...(+27 more),MATCH,Feeder values preserved in target set.
BI6503,draw_outlook,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,GREEN LIGHT|LONG ODDS|MAY DRAW IN 5-10 YEARS,GREEN LIGHT|LONG ODDS|MAY DRAW IN 5-10 YEARS,MATCH,Feeder values preserved in target set.
BI6503,status,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,MAX POOL|MIXED CUTOFF|RANDOM ONLY,MAX POOL|MIXED CUTOFF|RANDOM ONLY,MATCH,Feeder values preserved in target set.
BI6503,trend,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,GREEN|YELLOW,GREEN|YELLOW,MATCH,Feeder values preserved in target set.
BI6503,display_odds_pct,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,0|0.6|1.2|12.3|18.1|40|...(+1 more),0|1.2|12.3|18.1|40|60|...(+1 more),IMPROVED_FROM_CANONICAL_SOURCE,Target diverges with overlapping values; canonical enhancement allowed.
BI6503,p_draw_mean,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,0|0.000004|0.000008|0.000013|0.000016|0.000017|...(+54 more),0|0.0001|0.0002|0.0061|0.0117|0.1233|...(+3 more),IMPROVED_FROM_CANONICAL_SOURCE,Target diverges with overlapping values; canonical enhancement allowed.
BI6503,p_draw_p10,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,0|0.073311|0.130537|0.350127|0.9375,0|0.0733|0.1305|0.3501|0.9375,IMPROVED_FROM_CANONICAL_SOURCE,Target diverges with overlapping values; canonical enhancement allowed.
BI6503,p_draw_p90,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,0.05|0.050004|0.050008|0.050013|0.050016|0.050017|...(+54 more),0.05|0.0501|0.0502|0.0561|0.0617|0.1733|...(+3 more),IMPROVED_FROM_CANONICAL_SOURCE,Target diverges with overlapping values; canonical enhancement allowed.
BI6503,point_pool_zone,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,max_pool_cutoff_mixed|max_pool_guaranteed|random_pool,max_pool_cutoff_mixed|max_pool_guaranteed|random_pool,MATCH,Feeder values preserved in target set.
BI6503,guaranteed_at_2026,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,30,30,MATCH,Feeder values preserved in target set.
BI6503,permits_2026_res,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/hunt_unit_reference_linked.csv,4,4,MATCH,Feeder values preserved in target set.
BI6503,permits_2026_nr,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/hunt_unit_reference_linked.csv,2,2,MATCH,Feeder values preserved in target set.
BI6503,permits_2026_total,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/hunt_unit_reference_linked.csv,6,6,MATCH,Feeder values preserved in target set.
BI6503,harvest_success_pct,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/hunt_unit_reference_linked.csv,93.3,93.3,MATCH,Feeder values preserved in target set.
BI6503,average_days_hunted,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/hunt_unit_reference_linked.csv,2.4,2.4,MATCH,Feeder values preserved in target set.
BI6503,average_harvest_age,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,,,NOT_PRESENT_IN_FEEDER,No feeder value for this hunt_code/field.
BI6503,current_age_3yr_average,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,,,NOT_PRESENT_IN_FEEDER,No feeder value for this hunt_code/field.
BI6503,management_objective_type,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/hunt_master_enriched.csv,,,REVIEW_REQUIRED,Feeder unavailable: LFS_POINTER_LOCAL_SOURCE_UNAVAILABLE
BI6503,management_objective_range,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/hunt_master_enriched.csv,,,REVIEW_REQUIRED,Feeder unavailable: LFS_POINTER_LOCAL_SOURCE_UNAVAILABLE
BI6503,management_direction,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/hunt_master_enriched.csv,,,REVIEW_REQUIRED,Feeder unavailable: LFS_POINTER_LOCAL_SOURCE_UNAVAILABLE
BI6503,availability_status,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/draw_reality_engine.csv,,,NOT_PRESENT_IN_FEEDER,No feeder value for this hunt_code/field.
BI6503,dwr_result_display,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,~1 in 133.0 or 0.8%|~1 in 2.0 or 50.0%|~1 in 6.5 or 15.4%|~1 in 69.0 or 1.4%,0|1.3|29.33|55.25|57.14|84.03,IMPROVED_FROM_CANONICAL_SOURCE,Target diverges without overlap; mapped as canonical-improved per ownership rule.
BI6504,hunt_name,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/hunt_master_enriched.csv,,Henry Mtns,REVIEW_REQUIRED,Feeder unavailable: LFS_POINTER_LOCAL_SOURCE_UNAVAILABLE
BI6504,species,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/hunt_master_enriched.csv,,Bison,REVIEW_REQUIRED,Feeder unavailable: LFS_POINTER_LOCAL_SOURCE_UNAVAILABLE
BI6504,weapon,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/hunt_master_enriched.csv,,Any Legal Weapon,REVIEW_REQUIRED,Feeder unavailable: LFS_POINTER_LOCAL_SOURCE_UNAVAILABLE
BI6504,hunt_type,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/hunt_master_enriched.csv,,Once-in-a-Lifetime,REVIEW_REQUIRED,Feeder unavailable: LFS_POINTER_LOCAL_SOURCE_UNAVAILABLE
BI6504,residency,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,Nonresident|Resident,Nonresident|Resident,MATCH,Feeder values preserved in target set.
BI6504,draw_pool,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,standard,standard,MATCH,Feeder values preserved in target set.
BI6504,points,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,0|1|10|11|12|13|...(+27 more),0|1|10|11|12|13|...(+27 more),MATCH,Feeder values preserved in target set.
BI6504,draw_outlook,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,GREEN LIGHT|LONG ODDS|MAY DRAW IN 5-10 YEARS,GREEN LIGHT|LONG ODDS|MAY DRAW IN 5-10 YEARS,MATCH,Feeder values preserved in target set.
BI6504,status,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,MAX POOL|MIXED CUTOFF|RANDOM ONLY,MAX POOL|MIXED CUTOFF|RANDOM ONLY,MATCH,Feeder values preserved in target set.
BI6504,trend,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,YELLOW,YELLOW,MATCH,Feeder values preserved in target set.
BI6504,display_odds_pct,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,0|0.1|0.6|2.1|26.7|49.5|...(+3 more),0|10|2.1|26.7|49.5|6.7|...(+3 more),IMPROVED_FROM_CANONICAL_SOURCE,Target diverges with overlapping values; canonical enhancement allowed.
BI6504,p_draw_mean,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,0|0.00001|0.000024|0.000031|0.000041|0.000047|...(+53 more),0|0.0001|0.0002|0.0003|0.0004|0.0005|...(+8 more),IMPROVED_FROM_CANONICAL_SOURCE,Target diverges with overlapping values; canonical enhancement allowed.
BI6504,p_draw_p10,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,0|0.017304|0.216963|0.444516|0.780944|0.9475,0|0.0173|0.217|0.4445|0.7809|0.9475,IMPROVED_FROM_CANONICAL_SOURCE,Target diverges with overlapping values; canonical enhancement allowed.
BI6504,p_draw_p90,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,0.05|0.05001|0.050024|0.050031|0.050041|0.050047|...(+53 more),0.05|0.0501|0.0502|0.0503|0.0504|0.0505|...(+8 more),IMPROVED_FROM_CANONICAL_SOURCE,Target diverges with overlapping values; canonical enhancement allowed.
BI6504,point_pool_zone,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,max_pool_cutoff_mixed|max_pool_guaranteed|random_pool,max_pool_cutoff_mixed|max_pool_guaranteed|random_pool,MATCH,Feeder values preserved in target set.
BI6504,guaranteed_at_2026,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,28|30,28|30,MATCH,Feeder values preserved in target set.
BI6504,permits_2026_res,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/hunt_unit_reference_linked.csv,5,5,MATCH,Feeder values preserved in target set.
BI6504,permits_2026_nr,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/hunt_unit_reference_linked.csv,2,2,MATCH,Feeder values preserved in target set.
BI6504,permits_2026_total,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/hunt_unit_reference_linked.csv,7,7,MATCH,Feeder values preserved in target set.
BI6504,harvest_success_pct,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/hunt_unit_reference_linked.csv,100,100,MATCH,Feeder values preserved in target set.
BI6504,average_days_hunted,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/hunt_unit_reference_linked.csv,4.5,4.5,MATCH,Feeder values preserved in target set.
BI6504,average_harvest_age,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,,,NOT_PRESENT_IN_FEEDER,No feeder value for this hunt_code/field.
BI6504,current_age_3yr_average,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,,,NOT_PRESENT_IN_FEEDER,No feeder value for this hunt_code/field.
BI6504,management_objective_type,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/hunt_master_enriched.csv,,,REVIEW_REQUIRED,Feeder unavailable: LFS_POINTER_LOCAL_SOURCE_UNAVAILABLE
BI6504,management_objective_range,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/hunt_master_enriched.csv,,,REVIEW_REQUIRED,Feeder unavailable: LFS_POINTER_LOCAL_SOURCE_UNAVAILABLE
BI6504,management_direction,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/hunt_master_enriched.csv,,,REVIEW_REQUIRED,Feeder unavailable: LFS_POINTER_LOCAL_SOURCE_UNAVAILABLE
BI6504,availability_status,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/draw_reality_engine.csv,,,NOT_PRESENT_IN_FEEDER,No feeder value for this hunt_code/field.
BI6504,dwr_result_display,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,~1 in 1.0 or 100.0%|~1 in 12.0 or 8.3%|~1 in 144.0 or 0.7%|~1 in 3.0 or 33.3%|~1 in 38.0 or 2.6%,0|1.25|3.7|50|71.43|71.94|...(+2 more),IMPROVED_FROM_CANONICAL_SOURCE,Target diverges without overlap; mapped as canonical-improved per ownership rule.
BI6505,hunt_name,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/hunt_master_enriched.csv,,Henry Mtns,REVIEW_REQUIRED,Feeder unavailable: LFS_POINTER_LOCAL_SOURCE_UNAVAILABLE
BI6505,species,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/hunt_master_enriched.csv,,Bison,REVIEW_REQUIRED,Feeder unavailable: LFS_POINTER_LOCAL_SOURCE_UNAVAILABLE
BI6505,weapon,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/hunt_master_enriched.csv,,Any Legal Weapon,REVIEW_REQUIRED,Feeder unavailable: LFS_POINTER_LOCAL_SOURCE_UNAVAILABLE
BI6505,hunt_type,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/hunt_master_enriched.csv,,Once-in-a-Lifetime,REVIEW_REQUIRED,Feeder unavailable: LFS_POINTER_LOCAL_SOURCE_UNAVAILABLE
BI6505,residency,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,Nonresident|Resident,Nonresident|Resident,MATCH,Feeder values preserved in target set.
BI6505,draw_pool,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,standard,standard,MATCH,Feeder values preserved in target set.
BI6505,points,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,0|1|10|11|12|13|...(+27 more),0|1|10|11|12|13|...(+27 more),MATCH,Feeder values preserved in target set.
BI6505,draw_outlook,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,GREEN LIGHT|LONG ODDS|MAY DRAW IN 5-10 YEARS,GREEN LIGHT|LONG ODDS|MAY DRAW IN 5-10 YEARS,MATCH,Feeder values preserved in target set.
BI6505,status,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,MAX POOL|MIXED CUTOFF|RANDOM ONLY,MAX POOL|MIXED CUTOFF|RANDOM ONLY,MATCH,Feeder values preserved in target set.
BI6505,trend,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,GREEN|YELLOW,GREEN|YELLOW,MATCH,Feeder values preserved in target set.
