hunt_code,unresolved_sources,classification,notes,database_present,database_hunt_name,database_species,database_sex_type,database_weapon,database_hunt_type,database_hunt_class,database_boundary_id,db_allotment_res,db_allotment_nr,db_allotment_total,permit_recommended_res,permit_recommended_nr,permit_recommended_total,conservation_table_row_count
DA1033,REMAINING_AFTER_3_SOURCE_RULE,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,"San Juan, Monticello",Deer,Antlerless,Archery,General Season,Antlerless,23,,,5,,,,0
DA1044,CORE_REVIEW,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,Myton,Deer,Antlerless,Any Legal Weapon,General Season,,864,,,50,,,,0
DA1051,CORE_REVIEW,DATABASE_MISSING,Hunt code is unresolved and is not present in DATABASE.csv.,no,,,,,,,,,,,,,,0
DB0001,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,REMAINING_UNRESOLVED_REVIEW,Still present in remaining-after-3-source unresolved split.,yes,Southeastern Navajo Buck Deer,Deer,Buck,Any Legal Weapon,Tribal,Tribal,866,,,,,,,0
DB0002,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,REMAINING_UNRESOLVED_REVIEW,Still present in remaining-after-3-source unresolved split.,yes,Southeastern Navajo Buck Deer,Deer,Buck,Archery,Tribal,Tribal,866,,,,,,,0
DB0003,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,REMAINING_UNRESOLVED_REVIEW,Still present in remaining-after-3-source unresolved split.,yes,Southeastern Navajo Buck Deer,Deer,Buck,Muzzleloader,Tribal,Tribal,866,,,,,,,0
DB0004,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,REMAINING_UNRESOLVED_REVIEW,Still present in remaining-after-3-source unresolved split.,yes,Southern Navajo Buck Deer,Deer,Buck,Any Legal Weapon,Tribal,Tribal,865,,,,,,,0
DB0005,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,REMAINING_UNRESOLVED_REVIEW,Still present in remaining-after-3-source unresolved split.,yes,Southern Navajo Buck Deer,Deer,Buck,Archery,Tribal,Tribal,865,,,,,,,0
DB0006,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,REMAINING_UNRESOLVED_REVIEW,Still present in remaining-after-3-source unresolved split.,yes,Southern Navajo Buck Deer,Deer,Buck,Muzzleloader,Tribal,Tribal,865,,,,,,,0
DB0007,CORE_REVIEW,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,Buck Deer - Statewide Permit,Deer,Buck,Any Legal Weapon,Statewide,Statewide Permit,5108,,,1,,,,0
DB0008,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Extended Archery Deer,Deer,Hunters Choice,Archery,Extended Archery,Extended Archery,5109,,,2000,,,2000,0
DB0009,CORE_REVIEW|PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,REMAINING_UNRESOLVED_REVIEW,Still present in remaining-after-3-source unresolved split.,yes,Antelope Island - Conservation/Expo,Deer,Buck,Any Legal Weapon,Premium Limited Entry,Premium Limited Entry,1,,,,,,,0
DB0010,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,REMAINING_UNRESOLVED_REVIEW,Still present in remaining-after-3-source unresolved split.,yes,Southern Paiute Buck Deer (early),Deer,Buck,Any Legal Weapon,Tribal,Tribal,865,,,,,,,0
DB0011,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,REMAINING_UNRESOLVED_REVIEW,Still present in remaining-after-3-source unresolved split.,yes,Southern Paiute Buck Deer,Deer,Buck,Archery,Tribal,Tribal,865,,,,,,,0
DB0012,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,REMAINING_UNRESOLVED_REVIEW,Still present in remaining-after-3-source unresolved split.,yes,Southern Paiute Buck Deer,Deer,Buck,Muzzleloader,Tribal,Tribal,865,,,,,,,0
DB0013,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,REMAINING_UNRESOLVED_REVIEW,Still present in remaining-after-3-source unresolved split.,yes,Southern Paiute Buck Deer (late),Deer,Buck,Any Legal Weapon,Tribal,Tribal,865,,,,,,,0
DB1001,PERMIT_UNRESOLVED,CONSERVATION_TABLE_DB_MATCH,Conservation source matches DATABASE conservation field.,yes,Paunsaugunt Premium,Deer,Buck,Archery,Premium Limited Entry,Premium Limited Entry,163,26,3,29,26,3,29,1
DB1003,PERMIT_UNRESOLVED,CONSERVATION_TABLE_DB_MATCH,Conservation source matches DATABASE conservation field.,yes,Henry Mtns Premium,Deer,Buck,Any Legal Weapon,Premium Limited Entry,Premium Limited Entry,94,24,3,27,24,3,27,1
DB1004,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Paunsaugunt Premium,Deer,Buck,Any Legal Weapon,Premium Limited Entry,Premium Limited Entry,163,75,8,83,75,8,83,0
DB1006,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Paunsaugunt Premium,Deer,Buck,Muzzleloader,Premium Limited Entry,Premium Limited Entry,163,26,3,29,26,3,29,0
DB1010,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Paunsaugunt Management,Deer,Buck,Any Legal Weapon,Premium Limited Entry,Management,163,30,3,33,30,3,33,0
DB1011,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Book Cliffs,Deer,Buck,Archery,Limited Entry,Limited Entry,7,55,6,61,55,6,61,0
DB1015,PERMIT_UNRESOLVED,CONSERVATION_TABLE_DB_MATCH,Conservation source matches DATABASE conservation field.,yes,Diamond Mtn,Deer,Buck,Archery,Limited Entry,Limited Entry,206,22,2,24,22,2,24,1
DB1016,PERMIT_UNRESOLVED,CONSERVATION_TABLE_DB_MATCH,Conservation source matches DATABASE conservation field.,yes,"West Desert, Vernon",Deer,Buck,Archery,Limited Entry,Limited Entry,248,46,5,51,46,5,51,1
DB1017,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,"Book Cliffs, North",Deer,Buck,Any Legal Weapon,Limited Entry,Limited Entry,714,137,15,152,137,15,152,0
DB1018,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,"Book Cliffs, South",Deer,Buck,Any Legal Weapon,Limited Entry,Limited Entry,15,34,4,38,34,4,38,0
DB1019,PERMIT_UNRESOLVED,CONSERVATION_TABLE_DB_MATCH,Conservation source matches DATABASE conservation field.,yes,"Fillmore, Oak Creek LE",Deer,Buck,Any Legal Weapon,Limited Entry,Limited Entry,85,33,4,37,33,4,37,1
DB1022,PERMIT_UNRESOLVED,CONSERVATION_TABLE_DB_MATCH,Conservation source matches DATABASE conservation field.,yes,"San Juan, Elk Ridge",Deer,Buck,Any Legal Weapon,Limited Entry,Limited Entry,185,42,5,47,42,5,47,1
DB1023,PERMIT_UNRESOLVED,CONSERVATION_TABLE_DB_MATCH,Conservation source matches DATABASE conservation field.,yes,Diamond Mtn,Deer,Buck,Any Legal Weapon,Limited Entry,Limited Entry,206,61,7,68,61,7,68,1
DB1024,PERMIT_UNRESOLVED,CONSERVATION_TABLE_DB_MATCH,Conservation source matches DATABASE conservation field.,yes,"West Desert, Vernon",Deer,Buck,Any Legal Weapon,Limited Entry,Limited Entry,248,130,14,144,130,14,144,1
DB1025,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Book Cliffs,Deer,Buck,Muzzleloader,Limited Entry,Limited Entry,7,55,6,61,55,6,61,0
DB1026,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,"Cache, Crawford Mtn",Deer,Buck,Muzzleloader,Limited Entry,Limited Entry,32,8,1,9,8,1,9,0
DB1034,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Pine Valley,Deer,Buck,Muzzleloader,Limited Entry,Limited Entry,636,13,2,15,13,2,15,0
DB1036,CORE_REVIEW,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,Thousand Lakes,Deer,Buck,Muzzleloader,Limited Entry,,632,4,1,5,,,,0
DB1038,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Diamond Mtn,Deer,Buck,Muzzleloader,Limited Entry,Limited Entry,206,22,2,24,22,2,24,0
DB1041,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,"Wasatch Mtns, East",Deer,Buck,Muzzleloader,Limited Entry,Limited Entry,621,30,3,33,30,3,33,0
DB1042,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,"West Desert, Vernon",Deer,Buck,Muzzleloader,Limited Entry,Limited Entry,248,46,5,51,46,5,51,0
DB1043,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Zion,Deer,Buck,Muzzleloader,Limited Entry,Limited Entry,635,15,2,17,15,2,17,0
DB1056,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,CONSERVATION_TABLE_DB_MATCH,Conservation source matches DATABASE conservation field.,yes,Book Cliffs (North & South),Deer,Buck,Any Legal Weapon,Conservation,Conservation,7,,,4,,,,1
DB1059,CORE_REVIEW,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,Beaver,Deer,Buck,Muzzleloader,Limited Entry,,628,7,1,8,,,,0
DB1075,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,CONSERVATION_TABLE_DB_MATCH,Conservation source matches DATABASE conservation field.,yes,Book Cliffs (North & South),Deer,Buck,Archery,Conservation,Conservation,7,,,2,,,,1
DB1076,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,CONSERVATION_TABLE_DB_MATCH,Conservation source matches DATABASE conservation field.,yes,Book Cliffs (North & South),Deer,Buck,Muzzleloader,Conservation,Conservation,7,,,2,,,,1
DB1079,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Manti/San Rafael,Deer,Buck,Muzzleloader,Limited Entry,Limited Entry,619,40,5,45,40,5,45,0
DB1082,CORE_REVIEW,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,Oquirrh-Stansbury,Deer,Buck,Muzzleloader,Limited Entry,,622,12,1,13,,,,0
DB1087,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,"Wasatch Mtns, West",Deer,Buck,Muzzleloader,Limited Entry,Limited Entry,620,36,4,40,36,4,40,0
DB1088,CORE_REVIEW,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,"West Desert, Tintic",Deer,Buck,Muzzleloader,Limited Entry,,624,4,1,5,,,,0
DB1089,CORE_REVIEW,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,"West Desert, West",Deer,Buck,Muzzleloader,Limited Entry,,623,4,1,5,,,,0
DB1094,CORE_REVIEW,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,Myton,Deer,Buck,Muzzleloader,Limited Entry,,864,20,,20,,,,0
DB1109,CORE_REVIEW,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,Thousand Lakes,Deer,Buck,Restricted Multiseason,Limited Entry,Limited Entry,632,2,0,2,,,,0
DB1118,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,CONSERVATION_TABLE_DB_MATCH,Conservation source matches DATABASE conservation field.,yes,Dolores Triangle,Deer,Buck,Multiseason,Conservation,Conservation,108,,,1,,,,1
DB1121,CORE_REVIEW,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,Antelope Island Management,Deer,Buck,Any Legal Weapon,Premium Limited Entry,Management,1,2,0,2,,,,0
DB1276,CORE_REVIEW,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,Plymouth Peak CWMU,Deer,Buck,Any Legal Weapon,CWMU,,737,,,1,,,,0
DB1320,CORE_REVIEW,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,Deer Creek CWMU,Deer,Buck,Any Legal Weapon,CWMU,,686,1,0,1,,,,0
DB1324,CORE_REVIEW,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,Royal Ivory Outfitters CWMU,Deer,Buck,Any Legal Weapon,CWMU,,828,1,0,1,,,,0
DB1338,CORE_REVIEW,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,Sweetwater CWMU,Deer,Buck,Any Legal Weapon,CWMU,,891,,,1,,,,0
DB1343,CORE_REVIEW,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,Red Iron CWMU,Deer,Buck,Any Legal Weapon,CWMU,,907,1,0,1,,,,0
DB1344,CORE_REVIEW,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,Salt Wells CWMU,Deer,Buck,Any Legal Weapon,CWMU,,906,1,0,1,,,,0
DB1345,CORE_REVIEW,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,Diamond Mountain CWMU,Deer,Buck,Any Legal Weapon,CWMU,,923,1,0,1,,,,0
DB1348,CORE_REVIEW,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,Kimberly CWMU,Deer,Buck,Any Legal Weapon,CWMU,,922,1,0,1,,,,0
DB1351,CORE_REVIEW,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,The Dirty Dozen,Deer,Buck,Any Legal Weapon,CWMU,CWMU,923,2,0,2,,,,0
DB1501,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Box Elder,Deer,Buck,Archery,General Season,General Season,607,,,1040,,,1040,0
DB1502,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Cache,Deer,Buck,Archery,General Season,General Season,29,,,1160,,,1160,0
DB1503,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Manti/San Rafael,Deer,Buck,Archery,General Season,General Season,619,,,1800,,,1800,0
DB1504,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Nebo,Deer,Buck,Archery,General Season,General Season,616,,,1060,,,1060,0
DB1506,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Fillmore,Deer,Buck,Archery,General Season,General Season,804,,,460,,,460,0
DB1508,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Kamas,Deer,Buck,Archery,General Season,General Season,611,,,200,,,200,0
DB1509,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,La Sal Mtns,Deer,Buck,Archery,General Season,General Season,617,,,360,,,360,0
DB1510,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Monroe,Deer,Buck,Archery,General Season,General Season,629,,,220,,,220,0
DB1511,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Mt Dutton,Deer,Buck,Archery,General Season,General Season,630,,,80,,,80,0
DB1512,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Nine Mile,Deer,Buck,Archery,General Season,General Season,615,,,280,,,280,0
DB1513,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,North Slope,Deer,Buck,Archery,General Season,General Season,612,,,620,,,620,0
DB1514,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Ogden,Deer,Buck,Archery,General Season,General Season,609,,,540,,,540,0
DB1516,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Panguitch Lake,Deer,Buck,Archery,General Season,General Season,634,,,500,,,500,0
DB1517,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Pine Valley,Deer,Buck,Archery,General Season,General Season,636,,,600,,,600,0
DB1518,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Boulder/Kaiparowits,Deer,Buck,Archery,General Season,General Season,455,,,720,,,720,0
DB1519,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Fishlake,Deer,Buck,Archery,General Season,General Season,633,,,260,,,260,0
