hunt_code,hunt_name,species,sex_type,weapon,hunt_type,season,database_allotment_2026_res,database_allotment_2026_nr,database_allotment_2026_total,recommended_res,recommended_nr,recommended_total,database_alignment,reconciliation_status,winner_source,confidence,source_support_count,source_presence,conflicting_sources,recommended_action,decision_reason,hanumber_status,hunttable_status,utahdraws_status,buck_deer_status,database_status
DB0002,Southeastern Navajo Buck Deer,Deer,Buck,Archery,Tribal,"Aug 16, 2025 - Sept 12, 2025",,,,,,,NOT_COMPARED,NO_RECONCILIATION_REVIEW,NONE,NO_PERMIT_VALUE,0,HANUMBER|HUNTTABLE|BUCK_DEER|DATABASE,,NO_CURRENT_PERMIT_VALUE_FOUND,No source in this pass has current permit values.,OK,LIVE_AND_DATABASE,DATABASE_ONLY,XLSX_PERMIT_ROWS_REPAIRED_MATCH_PASTED_SOURCE,
DB0003,Southeastern Navajo Buck Deer,Deer,Buck,Muzzleloader,Tribal,"Sept 24 - Oct 2, 2025",,,,,,,NOT_COMPARED,NO_RECONCILIATION_REVIEW,NONE,NO_PERMIT_VALUE,0,HANUMBER|HUNTTABLE|BUCK_DEER|DATABASE,,NO_CURRENT_PERMIT_VALUE_FOUND,No source in this pass has current permit values.,OK,LIVE_AND_DATABASE,DATABASE_ONLY,XLSX_PERMIT_ROWS_REPAIRED_MATCH_PASTED_SOURCE,
DB0004,Southern Navajo Buck Deer,Deer,Buck,Any Legal Weapon,Tribal,"Oct 18, 2025 - Oct 26, 2025",,,,,,,NOT_COMPARED,NO_RECONCILIATION_REVIEW,NONE,NO_PERMIT_VALUE,0,HANUMBER|HUNTTABLE|BUCK_DEER|DATABASE,,NO_CURRENT_PERMIT_VALUE_FOUND,No source in this pass has current permit values.,OK,LIVE_AND_DATABASE,DATABASE_ONLY,XLSX_PERMIT_ROWS_REPAIRED_MATCH_PASTED_SOURCE,
DB0005,Southern Navajo Buck Deer,Deer,Buck,Archery,Tribal,"Aug 16, 2025 - Sept 12, 2025",,,,,,,NOT_COMPARED,NO_RECONCILIATION_REVIEW,NONE,NO_PERMIT_VALUE,0,HANUMBER|HUNTTABLE|BUCK_DEER|DATABASE,,NO_CURRENT_PERMIT_VALUE_FOUND,No source in this pass has current permit values.,OK,LIVE_AND_DATABASE,DATABASE_ONLY,XLSX_PERMIT_ROWS_REPAIRED_MATCH_PASTED_SOURCE,
DB0006,Southern Navajo Buck Deer,Deer,Buck,Muzzleloader,Tribal,"Sept 24 - Oct 2, 2025",,,,,,,NOT_COMPARED,NO_RECONCILIATION_REVIEW,NONE,NO_PERMIT_VALUE,0,HANUMBER|HUNTTABLE|BUCK_DEER|DATABASE,,NO_CURRENT_PERMIT_VALUE_FOUND,No source in this pass has current permit values.,OK,LIVE_AND_DATABASE,DATABASE_ONLY,XLSX_PERMIT_ROWS_REPAIRED_MATCH_PASTED_SOURCE,
DB0009,Antelope Island - Conservation/Expo,Deer,Buck,Any Legal Weapon,Premium Limited Entry,"Nov 9, 2026 - Nov 16, 2026",,,,,,,NOT_COMPARED,NO_RECONCILIATION_REVIEW,NONE,NO_PERMIT_VALUE,0,HANUMBER|HUNTTABLE|BUCK_DEER|DATABASE,,NO_CURRENT_PERMIT_VALUE_FOUND,No source in this pass has current permit values.,OK,LIVE_AND_DATABASE,DATABASE_ONLY,XLSX_PERMIT_ROWS_REPAIRED_MATCH_PASTED_SOURCE,
DB0010,Southern Paiute Buck Deer (early),Deer,Buck,Any Legal Weapon,Tribal,"Oct 18, 2025 - Oct 26, 2025",,,,,,,NOT_COMPARED,NO_RECONCILIATION_REVIEW,NONE,NO_PERMIT_VALUE,0,HANUMBER|HUNTTABLE|BUCK_DEER|DATABASE,,NO_CURRENT_PERMIT_VALUE_FOUND,No source in this pass has current permit values.,OK,LIVE_AND_DATABASE,DATABASE_ONLY,XLSX_PERMIT_ROWS_REPAIRED_MATCH_PASTED_SOURCE,
DB0011,Southern Paiute Buck Deer,Deer,Buck,Archery,Tribal,"Aug 16, 2025 - Sept 12, 2025",,,,,,,NOT_COMPARED,NO_RECONCILIATION_REVIEW,NONE,NO_PERMIT_VALUE,0,HANUMBER|HUNTTABLE|BUCK_DEER|DATABASE,,NO_CURRENT_PERMIT_VALUE_FOUND,No source in this pass has current permit values.,OK,LIVE_AND_DATABASE,DATABASE_ONLY,XLSX_PERMIT_ROWS_REPAIRED_MATCH_PASTED_SOURCE,
DB0012,Southern Paiute Buck Deer,Deer,Buck,Muzzleloader,Tribal,"Sept 24 - Oct 2, 2025",,,,,,,NOT_COMPARED,NO_RECONCILIATION_REVIEW,NONE,NO_PERMIT_VALUE,0,HANUMBER|HUNTTABLE|BUCK_DEER|DATABASE,,NO_CURRENT_PERMIT_VALUE_FOUND,No source in this pass has current permit values.,OK,LIVE_AND_DATABASE,DATABASE_ONLY,XLSX_PERMIT_ROWS_REPAIRED_MATCH_PASTED_SOURCE,
DB0013,Southern Paiute Buck Deer (late),Deer,Buck,Any Legal Weapon,Tribal,"Oct 18, 2025 - Oct 26, 2025",,,,,,,NOT_COMPARED,NO_RECONCILIATION_REVIEW,NONE,NO_PERMIT_VALUE,0,HANUMBER|HUNTTABLE|BUCK_DEER|DATABASE,,NO_CURRENT_PERMIT_VALUE_FOUND,No source in this pass has current permit values.,OK,LIVE_AND_DATABASE,DATABASE_ONLY,XLSX_PERMIT_ROWS_REPAIRED_MATCH_PASTED_SOURCE,
DB1056,Book Cliffs (North & South),Deer,Buck,Any Legal Weapon,Conservation,"Oct 17, 2026 - Oct 25, 2026",,,4,,,,DATABASE_HAS_VALUE_NO_RECOMMENDATION,NO_RECONCILIATION_REVIEW,NONE_EXTERNAL_DATABASE_REFERENCE_ONLY,REVIEW_REQUIRED,0,HANUMBER|HUNTTABLE|BUCK_DEER|DATABASE,,FIND_EXTERNAL_SOURCE_BEFORE_PROMOTION,No non-database current source has permit values; database has a reference value only.,OK,LIVE_AND_DATABASE,DATABASE_ONLY,XLSX_PERMIT_ROWS_REPAIRED_MATCH_PASTED_SOURCE,
DB1075,Book Cliffs (North & South),Deer,Buck,Archery,Conservation,Aug 16 2025 - Sept 12 2025,,,2,,,,DATABASE_HAS_VALUE_NO_RECOMMENDATION,NO_RECONCILIATION_REVIEW,NONE_EXTERNAL_DATABASE_REFERENCE_ONLY,REVIEW_REQUIRED,0,HANUMBER|HUNTTABLE|BUCK_DEER|DATABASE,,FIND_EXTERNAL_SOURCE_BEFORE_PROMOTION,No non-database current source has permit values; database has a reference value only.,OK,LIVE_AND_DATABASE,DATABASE_ONLY,XLSX_PERMIT_ROWS_REPAIRED_MATCH_PASTED_SOURCE,
DB1076,Book Cliffs (North & South),Deer,Buck,Muzzleloader,Conservation,Sept 24 2025 - Oct 02 2025,,,2,,,,DATABASE_HAS_VALUE_NO_RECOMMENDATION,NO_RECONCILIATION_REVIEW,NONE_EXTERNAL_DATABASE_REFERENCE_ONLY,REVIEW_REQUIRED,0,HANUMBER|HUNTTABLE|BUCK_DEER|DATABASE,,FIND_EXTERNAL_SOURCE_BEFORE_PROMOTION,No non-database current source has permit values; database has a reference value only.,OK,LIVE_AND_DATABASE,DATABASE_ONLY,XLSX_PERMIT_ROWS_REPAIRED_MATCH_PASTED_SOURCE,
DB1118,Dolores Triangle,Deer,Buck,Multiseason,Conservation,"Arch: Oct 31-Nov 13, 2026 | Any Legal Weapon: Nov 14-22, 2026 | Muzz: Nov 23-Dec 1, 2026",,,1,,,,DATABASE_HAS_VALUE_NO_RECOMMENDATION,NO_RECONCILIATION_REVIEW,NONE_EXTERNAL_DATABASE_REFERENCE_ONLY,REVIEW_REQUIRED,0,HANUMBER|HUNTTABLE|BUCK_DEER|DATABASE,,FIND_EXTERNAL_SOURCE_BEFORE_PROMOTION,No non-database current source has permit values; database has a reference value only.,OK,LIVE_AND_DATABASE,DATABASE_ONLY,XLSX_PERMIT_ROWS_REPAIRED_MATCH_PASTED_SOURCE,
DS1002,"Kaiparowits, East",Desert Bighorn Sheep,Male Only,Any Legal Weapon,Conservation,"Sept 13, 2025 - Dec 31, 2025",1,0,1,,,,DATABASE_HAS_VALUE_NO_RECOMMENDATION,NO_RECONCILIATION_REVIEW,NONE_EXTERNAL_DATABASE_REFERENCE_ONLY,REVIEW_REQUIRED,0,HANUMBER|HUNTTABLE|DATABASE,,FIND_EXTERNAL_SOURCE_BEFORE_PROMOTION,No non-database current source has permit values; database has a reference value only.,OK,LIVE_AND_DATABASE,DATABASE_ONLY,,FULL_SPLIT
DS1003,"Kaiparowits, Escalante East/West",Desert Bighorn Sheep,Male Only,Any Legal Weapon,Conservation,"Sept 12 - Nov 10, 2026",1,0,1,,,,DATABASE_HAS_VALUE_NO_RECOMMENDATION,NO_RECONCILIATION_REVIEW,NONE_EXTERNAL_DATABASE_REFERENCE_ONLY,REVIEW_REQUIRED,0,HANUMBER|HUNTTABLE|DATABASE,,FIND_EXTERNAL_SOURCE_BEFORE_PROMOTION,No non-database current source has permit values; database has a reference value only.,OK,LIVE_AND_DATABASE,DATABASE_ONLY,,FULL_SPLIT
DS1004,"San Rafael, Dirty Devil",Desert Bighorn Sheep,Male Only,Any Legal Weapon,Conservation,"Sept 13 - Dec 31, 2025",1,0,1,,,,DATABASE_HAS_VALUE_NO_RECOMMENDATION,NO_RECONCILIATION_REVIEW,NONE_EXTERNAL_DATABASE_REFERENCE_ONLY,REVIEW_REQUIRED,0,HANUMBER|HUNTTABLE|DATABASE,,FIND_EXTERNAL_SOURCE_BEFORE_PROMOTION,No non-database current source has permit values; database has a reference value only.,OK,LIVE_AND_DATABASE,DATABASE_ONLY,,FULL_SPLIT
DS1006,"Kaiparowits, West",Desert Bighorn Sheep,Male Only,Any Legal Weapon,Conservation,"Sept 13, 2025 - Dec 31, 2025",1,0,1,,,,DATABASE_HAS_VALUE_NO_RECOMMENDATION,NO_RECONCILIATION_REVIEW,NONE_EXTERNAL_DATABASE_REFERENCE_ONLY,REVIEW_REQUIRED,0,HANUMBER|HUNTTABLE|DATABASE,,FIND_EXTERNAL_SOURCE_BEFORE_PROMOTION,No non-database current source has permit values; database has a reference value only.,OK,LIVE_AND_DATABASE,DATABASE_ONLY,,FULL_SPLIT
DS1007,"San Rafael, South",Desert Bighorn Sheep,Male Only,Any Legal Weapon,Conservation,"Sept 13, 2025 - Dec 31, 2025",1,0,1,,,,DATABASE_HAS_VALUE_NO_RECOMMENDATION,NO_RECONCILIATION_REVIEW,NONE_EXTERNAL_DATABASE_REFERENCE_ONLY,REVIEW_REQUIRED,0,HANUMBER|HUNTTABLE|DATABASE,,FIND_EXTERNAL_SOURCE_BEFORE_PROMOTION,No non-database current source has permit values; database has a reference value only.,OK,LIVE_AND_DATABASE,DATABASE_ONLY,,FULL_SPLIT
DS6605,"Pine Valley, Beaver Dam",Desert Bighorn Sheep,Male Only,Any Legal Weapon,Conservation,"Sept 13, 2025 - Dec 31, 2025",1,0,1,,,,DATABASE_HAS_VALUE_NO_RECOMMENDATION,NO_RECONCILIATION_REVIEW,NONE_EXTERNAL_DATABASE_REFERENCE_ONLY,REVIEW_REQUIRED,0,HANUMBER|HUNTTABLE|DATABASE,,FIND_EXTERNAL_SOURCE_BEFORE_PROMOTION,No non-database current source has permit values; database has a reference value only.,OK,LIVE_AND_DATABASE,DATABASE_ONLY,,FULL_SPLIT
EA1180,La Sal (Conservation),Elk,Antlerless,Any Legal Weapon,Conservation,"Oct 4 - Oct 16, 2025 & Nov 17 - Dec 31, 2025",,,8,,,,DATABASE_HAS_VALUE_NO_RECOMMENDATION,NO_RECONCILIATION_REVIEW,NONE_EXTERNAL_DATABASE_REFERENCE_ONLY,REVIEW_REQUIRED,0,HANUMBER|HUNTTABLE|DATABASE,,FIND_EXTERNAL_SOURCE_BEFORE_PROMOTION,No non-database current source has permit values; database has a reference value only.,OK,LIVE_AND_DATABASE,DATABASE_ONLY,,NO_QUOTA_PUBLISHED
EA1220,Manti (Expo),Elk,Antlerless,Any Legal Weapon,General Season,"Oct 4 - Oct 16, 2025",,,3,,,,DATABASE_HAS_VALUE_NO_RECOMMENDATION,NO_RECONCILIATION_REVIEW,NONE_EXTERNAL_DATABASE_REFERENCE_ONLY,REVIEW_REQUIRED,0,HANUMBER|HUNTTABLE|DATABASE,,FIND_EXTERNAL_SOURCE_BEFORE_PROMOTION,No non-database current source has permit values; database has a reference value only.,OK,LIVE_AND_DATABASE,DATABASE_ONLY,,HARD_COPY_EXPO_TOTAL_ONLY
EA1221,Fishlake/Thousand Lake (Expo),Elk,Antlerless,Any Legal Weapon,General Season,"Oct 4 - Oct 16, 2025",,,1,,,,DATABASE_HAS_VALUE_NO_RECOMMENDATION,NO_RECONCILIATION_REVIEW,NONE_EXTERNAL_DATABASE_REFERENCE_ONLY,REVIEW_REQUIRED,0,HANUMBER|HUNTTABLE|DATABASE,,FIND_EXTERNAL_SOURCE_BEFORE_PROMOTION,No non-database current source has permit values; database has a reference value only.,OK,LIVE_AND_DATABASE,DATABASE_ONLY,,HARD_COPY_EXPO_TOTAL_ONLY
EA1258,La Sal (Expo),Elk,Antlerless,Any Legal Weapon,General Season,"Oct 4 - Oct 16, 2025",,,1,,,,DATABASE_HAS_VALUE_NO_RECOMMENDATION,NO_RECONCILIATION_REVIEW,NONE_EXTERNAL_DATABASE_REFERENCE_ONLY,REVIEW_REQUIRED,0,HANUMBER|HUNTTABLE|DATABASE,,FIND_EXTERNAL_SOURCE_BEFORE_PROMOTION,No non-database current source has permit values; database has a reference value only.,OK,LIVE_AND_DATABASE,DATABASE_ONLY,,HARD_COPY_EXPO_TOTAL_ONLY
EA1270,Fishlake (Conservation),Elk,Antlerless,Any Legal Weapon,Conservation,"Oct 4 - Oct 16, 2025 & Nov 22 - Dec 31, 2025",,,4,,,,DATABASE_HAS_VALUE_NO_RECOMMENDATION,NO_RECONCILIATION_REVIEW,NONE_EXTERNAL_DATABASE_REFERENCE_ONLY,REVIEW_REQUIRED,0,HANUMBER|HUNTTABLE|DATABASE,,FIND_EXTERNAL_SOURCE_BEFORE_PROMOTION,No non-database current source has permit values; database has a reference value only.,OK,LIVE_AND_DATABASE,DATABASE_ONLY,,NO_QUOTA_PUBLISHED
EA1271,Manti (Conservation),Elk,Antlerless,Any Legal Weapon,Conservation,"Oct 4 - Oct 16, 2025 & Nov 19, 2025 - Jan 31, 2026",,,4,,,,DATABASE_HAS_VALUE_NO_RECOMMENDATION,NO_RECONCILIATION_REVIEW,NONE_EXTERNAL_DATABASE_REFERENCE_ONLY,REVIEW_REQUIRED,0,HANUMBER|HUNTTABLE|DATABASE,,FIND_EXTERNAL_SOURCE_BEFORE_PROMOTION,No non-database current source has permit values; database has a reference value only.,OK,LIVE_AND_DATABASE,DATABASE_ONLY,,NO_QUOTA_PUBLISHED
EA2000,Antlerless Elk Control,Elk,Antlerless,Any Legal Weapon,Antlerless Elk Control,"Valid for the season/weapon listed on your qualifying permit on the Chalk Creek, East Canyon, Kamas, Henry Mtns, Morgan-S. Rich, Ogden, Pine Valley & Zion Units",,,,,,,NOT_COMPARED,NO_RECONCILIATION_REVIEW,NONE,NO_PERMIT_VALUE,0,HANUMBER|HUNTTABLE|DATABASE,,NO_CURRENT_PERMIT_VALUE_FOUND,No source in this pass has current permit values.,OK,LIVE_AND_DATABASE,DATABASE_ONLY,,
EA2041,Cache (Conservation),Elk,Antlerless,Any Legal Weapon,Conservation,"Oct 4 - Oct 26, 2025",,,6,,,,DATABASE_HAS_VALUE_NO_RECOMMENDATION,NO_RECONCILIATION_REVIEW,NONE_EXTERNAL_DATABASE_REFERENCE_ONLY,REVIEW_REQUIRED,0,HANUMBER|HUNTTABLE|DATABASE,,FIND_EXTERNAL_SOURCE_BEFORE_PROMOTION,No non-database current source has permit values; database has a reference value only.,OK,LIVE_AND_DATABASE,DATABASE_ONLY,,NO_QUOTA_PUBLISHED
EA2045,Wasatch Mtns (Conservation),Elk,Antlerless,Any Legal Weapon,Conservation,"Oct 4 - Oct 16, 2025 & Nov 15, 2025 - Jan 31, 2026",,,10,,,,DATABASE_HAS_VALUE_NO_RECOMMENDATION,NO_RECONCILIATION_REVIEW,NONE_EXTERNAL_DATABASE_REFERENCE_ONLY,REVIEW_REQUIRED,0,HANUMBER|HUNTTABLE|DATABASE,,FIND_EXTERNAL_SOURCE_BEFORE_PROMOTION,No non-database current source has permit values; database has a reference value only.,OK,LIVE_AND_DATABASE,DATABASE_ONLY,,NO_QUOTA_PUBLISHED
EB1001,Any Bull Elk Units,Elk,Bull,Any Legal Weapon,General Season - Any Bull,"October 3, 2026 - October 9, 2026",,,10,,,,DATABASE_HAS_VALUE_NO_RECOMMENDATION,NO_RECONCILIATION_REVIEW,NONE_EXTERNAL_DATABASE_REFERENCE_ONLY,REVIEW_REQUIRED,0,HANUMBER|HUNTTABLE|DATABASE,,FIND_EXTERNAL_SOURCE_BEFORE_PROMOTION,No non-database current source has permit values; database has a reference value only.,OK,LIVE_AND_DATABASE,DATABASE_ONLY,,
EB1002,Any Bull Elk Units,Elk,Bull,Muzzleloader,General Season - Any Bull,Oct 28 2026 - Nov 05 2026,,,6,,,,DATABASE_HAS_VALUE_NO_RECOMMENDATION,NO_RECONCILIATION_REVIEW,NONE_EXTERNAL_DATABASE_REFERENCE_ONLY,REVIEW_REQUIRED,0,HANUMBER|HUNTTABLE|DATABASE,,FIND_EXTERNAL_SOURCE_BEFORE_PROMOTION,No non-database current source has permit values; database has a reference value only.,OK,LIVE_AND_DATABASE,DATABASE_ONLY,,
EB1003,Spike Only Units,Elk,Bull,Any Legal Weapon,General Season - Spike Bull,Oct 03 2026 - Oct 15 2026,,,16,,,,DATABASE_HAS_VALUE_NO_RECOMMENDATION,NO_RECONCILIATION_REVIEW,NONE_EXTERNAL_DATABASE_REFERENCE_ONLY,REVIEW_REQUIRED,0,HANUMBER|HUNTTABLE|DATABASE,,FIND_EXTERNAL_SOURCE_BEFORE_PROMOTION,No non-database current source has permit values; database has a reference value only.,OK,LIVE_AND_DATABASE,DATABASE_ONLY,,
EB1004,Spike Only Units,Elk,Bull,Muzzleloader,General Season - Spike Bull,Oct 28 2026 - Nov 05 2026,,,6,,,,DATABASE_HAS_VALUE_NO_RECOMMENDATION,NO_RECONCILIATION_REVIEW,NONE_EXTERNAL_DATABASE_REFERENCE_ONLY,REVIEW_REQUIRED,0,HANUMBER|HUNTTABLE|DATABASE,,FIND_EXTERNAL_SOURCE_BEFORE_PROMOTION,No non-database current source has permit values; database has a reference value only.,OK,LIVE_AND_DATABASE,DATABASE_ONLY,,
EB1005,Archery Hunters Choice Elk,Elk,Bull,Archery,General Season - Archery,"Any bull units: Aug 15 2026 - Sept 16 2026 | Spike only units: Aug 15-Sept 4, 2026 (Paunsaugunt closed to archery)",,,16,,,,DATABASE_HAS_VALUE_NO_RECOMMENDATION,NO_RECONCILIATION_REVIEW,NONE_EXTERNAL_DATABASE_REFERENCE_ONLY,REVIEW_REQUIRED,0,HANUMBER|HUNTTABLE|DATABASE,,FIND_EXTERNAL_SOURCE_BEFORE_PROMOTION,No non-database current source has permit values; database has a reference value only.,OK,LIVE_AND_DATABASE,DATABASE_ONLY,,
EB1009,Spike Only Elk Units - Multiseason,Elk,Bull,Multiseason,General Season - Spike Bull,"Spike Archery: Aug 15-Sept 4, 2026 (Paunsaugunt closed to archery) Any Bull Archery: Aug 15-Sept 16, 2026 | ALW: Oct 3 - 15, 2026 | Muzz: Oct 28-Nov 5, 2026",,,,,,,NOT_COMPARED,NO_RECONCILIATION_REVIEW,NONE,NO_PERMIT_VALUE,0,HANUMBER|HUNTTABLE|DATABASE,,NO_CURRENT_PERMIT_VALUE_FOUND,No source in this pass has current permit values.,OK,LIVE_AND_DATABASE,DATABASE_ONLY,,
EB1010,Any Bull Elk Units,Elk,Bull,Any Legal Weapon,General Season - Any Bull,Oct 10 2026 - Oct 16 2026,,,17,,,,DATABASE_HAS_VALUE_NO_RECOMMENDATION,NO_RECONCILIATION_REVIEW,NONE_EXTERNAL_DATABASE_REFERENCE_ONLY,REVIEW_REQUIRED,0,HANUMBER|HUNTTABLE|DATABASE,,FIND_EXTERNAL_SOURCE_BEFORE_PROMOTION,No non-database current source has permit values; database has a reference value only.,OK,LIVE_AND_DATABASE,DATABASE_ONLY,,
EB1011,Youth General Season Bull Elk,Elk,Bull,Any Legal Weapon,General Season - Youth,ANY BULL: Arch: 08/15-09/16/2026|ALW: 10/3-10-16/2026|Muzz: 10/28-11/5/2026 SPIKE ONLY: Arch:8/15-09/04/2026|ALW: 10/3-10/15/2026|Muzz: 10/28-11/5/2026 |Uinta Basin Private Land only:08/01-11/14/2026,,,,,,,NOT_COMPARED,NO_RECONCILIATION_REVIEW,NONE,NO_PERMIT_VALUE,0,HANUMBER|HUNTTABLE|DATABASE,,NO_CURRENT_PERMIT_VALUE_FOUND,No source in this pass has current permit values.,OK,LIVE_AND_DATABASE,DATABASE_ONLY,,
EB3128,"Box Elder, Grouse Creek",Elk,Bull,Multiseason,Conservation,"Any Legal Weapon: Sept 16-20, 2026 & Oct 3 - 15, 2026 | Muzz: Sept 21-Oct 2, 2026",,,1,,,,DATABASE_HAS_VALUE_NO_RECOMMENDATION,NO_RECONCILIATION_REVIEW,NONE_EXTERNAL_DATABASE_REFERENCE_ONLY,REVIEW_REQUIRED,0,HANUMBER|HUNTTABLE|DATABASE,,FIND_EXTERNAL_SOURCE_BEFORE_PROMOTION,No non-database current source has permit values; database has a reference value only.,OK,LIVE_AND_DATABASE,DATABASE_ONLY,,TOTAL_ONLY
EB3209,"Box Elder, Pilot Mtn",Elk,Bull,Multiseason,Conservation,"Archery: Aug 15-Sept 6, 2026 | Any Legal Weapon: Sept 12-Oct 2, 2026",,,1,,,,DATABASE_HAS_VALUE_NO_RECOMMENDATION,NO_RECONCILIATION_REVIEW,NONE_EXTERNAL_DATABASE_REFERENCE_ONLY,REVIEW_REQUIRED,0,HANUMBER|HUNTTABLE|DATABASE,,FIND_EXTERNAL_SOURCE_BEFORE_PROMOTION,No non-database current source has permit values; database has a reference value only.,OK,LIVE_AND_DATABASE,DATABASE_ONLY,,TOTAL_ONLY
