row,hunt_code,old_boundary_id,new_boundary_id,old_hunt_name,new_hunt_name,source
128,BR7104,52,52,Manti North,"Manti, North",direct_boundary_geojson_unique_name
129,BR7203,52,52,Manti North,"Manti, North",direct_boundary_geojson_unique_name
130,BR7303,52,52,Manti North,"Manti, North",direct_boundary_geojson_unique_name
131,EA1020,55,55,"Manti, Mohrland-Stump Flat","Manti, Morhland Stump Flat",direct_boundary_geojson_unique_name
162,BR7007,88,88,Fillmore Pahvant,"Fillmore, Pahvant",direct_boundary_geojson_unique_name
163,BR7124,88,88,Fillmore Pahvant,"Fillmore, Pahvant",direct_boundary_geojson_unique_name
164,BR7207,88,88,Fillmore Pahvant,"Fillmore, Pahvant",direct_boundary_geojson_unique_name
175,EL3008,88,88,Fillmore Pahvant,"Fillmore, Pahvant",direct_boundary_geojson_unique_name
176,EL3042,88,88,Fillmore Pahvant,"Fillmore, Pahvant",direct_boundary_geojson_unique_name
177,EL3043,88,88,Fillmore Pahvant,"Fillmore, Pahvant",direct_boundary_geojson_unique_name
178,EL3086,88,88,Fillmore Pahvant,"Fillmore, Pahvant",direct_boundary_geojson_unique_name
179,EL3180,88,88,Fillmore Pahvant,"Fillmore, Pahvant",direct_boundary_geojson_unique_name
180,EL3181,88,88,Fillmore Pahvant,"Fillmore, Pahvant",direct_boundary_geojson_unique_name
197,DB1009,94,94,Henry Mtns Management,Henry Mtns,direct_boundary_geojson_unique_name
218,EL3044,108,108,La Sal Dolores Triangle,Dolores Triangle,direct_boundary_geojson_unique_name
220,DA1003,115,115,"Monroe/Plateau, Sevier Valley","Monroe/Plateau, Seveir Valley",direct_boundary_geojson_unique_name
262,EL3013,140,140,North Slope Three Corners,"North Slope, Three Corners",direct_boundary_geojson_unique_name
263,EL3053,140,140,North Slope Three Corners,"North Slope, Three Corners",direct_boundary_geojson_unique_name
264,EL3091,140,140,North Slope Three Corners,"North Slope, Three Corners",direct_boundary_geojson_unique_name
265,EL3210,140,140,North Slope Three Corners,"North Slope, Three Corners",direct_boundary_geojson_unique_name
285,DB1010,163,163,Paunsaugunt Management,Paunsaugunt,direct_boundary_geojson_unique_name
286,DB1058,163,163,Paunsaugunt Cactus,Paunsaugunt,direct_boundary_geojson_unique_name
287,DB1073,163,163,Paunsaugunt Management,Paunsaugunt,direct_boundary_geojson_unique_name
288,DB1074,163,163,Paunsaugunt Management,Paunsaugunt,direct_boundary_geojson_unique_name
326,EB3019,183,183,San Juan,San Juan Bull Elk,direct_boundary_geojson_unique_name
327,EB3066,183,183,San Juan,San Juan Bull Elk,direct_boundary_geojson_unique_name
328,EB3067,183,183,San Juan,San Juan Bull Elk,direct_boundary_geojson_unique_name
329,EB3097,183,183,San Juan,San Juan Bull Elk,direct_boundary_geojson_unique_name
330,EB3121,183,183,San Juan,San Juan Bull Elk,direct_boundary_geojson_unique_name
331,EB3193,183,183,San Juan,San Juan Bull Elk,direct_boundary_geojson_unique_name
332,EB3194,183,183,San Juan,San Juan Bull Elk,direct_boundary_geojson_unique_name
333,EL3019,183,183,San Juan,San Juan Bull Elk,direct_boundary_geojson_unique_name
334,EL3066,183,183,San Juan,San Juan Bull Elk,direct_boundary_geojson_unique_name
335,EL3067,183,183,San Juan,San Juan Bull Elk,direct_boundary_geojson_unique_name
336,EL3097,183,183,San Juan,San Juan Bull Elk,direct_boundary_geojson_unique_name
337,EL3193,183,183,San Juan,San Juan Bull Elk,direct_boundary_geojson_unique_name
338,EL3194,183,183,San Juan,San Juan Bull Elk,direct_boundary_geojson_unique_name
381,LO0008,206,206,Diamond Mtn Landowner Association,Diamond Mtn,direct_boundary_geojson_unique_name
382,LO0009,206,206,Diamond Mtn Landowner Association,Diamond Mtn,direct_boundary_geojson_unique_name
383,LO0010,206,206,Diamond Mtn Landowner Association,Diamond Mountain LOA,direct_boundary_geojson_unique_name
384,LO0011,206,206,Diamond Mtn Landowner Association,Diamond Mtn,direct_boundary_geojson_unique_name
385,LO0012,206,206,Diamond Mtn Landowner Association,Diamond Mtn,direct_boundary_geojson_unique_name
386,LO0013,206,206,Diamond Mtn Landowner Association,Diamond Mtn,direct_boundary_geojson_unique_name
387,LO0014,206,206,Diamond Mtn Landowner Association,Diamond Mtn,direct_boundary_geojson_unique_name
388,LO0015,206,206,Diamond Mtn Landowner Association,Diamond Mtn,direct_boundary_geojson_unique_name
406,EA1106,224,224,"Wasatch Mtns, Avintaquin","Wasatch Mtns, Avintaquin A",direct_boundary_geojson_unique_name
407,EA1217,224,224,"Wasatch Mtns, Avintaquin","Wasatch Mtns, Avintaquin A",direct_boundary_geojson_unique_name
419,EL3137,241,241,West Desert Deep Creek,"West Desert, Deep Creek",direct_boundary_geojson_unique_name
420,EL3144,241,241,West Desert Deep Creek,"West Desert, Deep Creek",direct_boundary_geojson_unique_name
432,BR7018,251,251,Kamas/North Slope Summit,"Kamas/North Slope, Summit",direct_boundary_geojson_unique_name
434,DB1105,276,276,HAMSS,East Canyon,direct_boundary_geojson_unique_name
454,BR7111,289,289,North Slope Three Corners/West Daggett,"North Slope, Three Corners/West Daggett",direct_boundary_geojson_unique_name
455,BR7212,289,289,North Slope Three Corners/West Daggett,"North Slope, Three Corners/West Daggett",direct_boundary_geojson_unique_name
456,BR7308,289,289,North Slope Three Corners/West Daggett,"North Slope, Three Corners/West Daggett",direct_boundary_geojson_unique_name
461,DB1090,301,301,HAMSS,"Book Cliffs, Floy Canyon",direct_boundary_geojson_unique_name
467,DB1091,314,314,HAMSS,Kaiparowits (HAMS),direct_boundary_geojson_unique_name
476,BR7120,448,448,Wasatch Mtns West-Central,"Wasatch Mtns, West-Central",direct_boundary_geojson_unique_name
477,BR7221,448,448,Wasatch Mtns West-Central,"Wasatch Mtns, West-Central",direct_boundary_geojson_unique_name
478,BR7316,448,448,Wasatch Mtns West-Central,"Wasatch Mtns, West-Central",direct_boundary_geojson_unique_name
480,BR7001,449,449,Book Cliffs Bitter Creek/South,"Book Cliffs, Bitter Creek/South",direct_boundary_geojson_unique_name
481,BR7101,449,449,Book Cliffs Bitter Creek/South,"Book Cliffs, Bitter Creek/South",direct_boundary_geojson_unique_name
482,BR7201,449,449,Book Cliffs Bitter Creek/South,"Book Cliffs, Bitter Creek/South",direct_boundary_geojson_unique_name
483,BR7300,449,449,Book Cliffs Bitter Creek/South,"Book Cliffs, Bitter Creek/South",direct_boundary_geojson_unique_name
510,BR7119,463,463,Wasatch Mtns Avintaquin/Currant Creek,"Wasatch Mtns, Avintaquin/Currant Creek",direct_boundary_geojson_unique_name
511,BR7220,463,463,Wasatch Mtns Avintaquin/Currant Creek,"Wasatch Mtns, Avintaquin/Currant Creek",direct_boundary_geojson_unique_name
512,BR7315,463,463,Wasatch Mtns Avintaquin/Currant Creek,"Wasatch Mtns, Avintaquin/Currant Creek",direct_boundary_geojson_unique_name
514,EA1114,480,480,"Wasatch Mtns, West Timpanogos","Wasatch Mtns, Timpanogos B",direct_boundary_geojson_unique_name
521,DB1310,488,488,White's Valley,Whites Valley,direct_boundary_geojson_unique_name
538,DB1209,500,500,Blind Springs,Blind Spring,direct_boundary_geojson_unique_name
558,EA1158,517,517,Cactus Ranch LLC,Riverview Ranch LLC,direct_boundary_geojson_unique_name
559,EB3545,517,517,Cactus Ranch LLC,Riverview Ranch LLC,direct_boundary_geojson_unique_name
571,DB1349,524,524,Weber Florence Creek/Stillman Creek,Weber Florence Creek,direct_boundary_geojson_unique_name
572,EA1263,524,524,Weber Florence Creek/Stillman Creek,Weber Florence Creek,direct_boundary_geojson_unique_name
573,EB3619,524,524,Weber Florence Creek/Stillman Creek,Weber Florence Creek,direct_boundary_geojson_unique_name
574,MB6266,524,524,Weber Florence Creek/Stillman Creek,Weber Florence Creek,direct_boundary_geojson_unique_name
579,DB1200,526,526,Alton - Premium Buck,Alton,direct_boundary_geojson_unique_name
580,DB1201,526,526,Alton - Management Buck,Alton,direct_boundary_geojson_unique_name
581,DB1334,526,526,Alton - Cactus Buck,Alton,direct_boundary_geojson_unique_name
593,DB1255,531,531,Johnson Mountain Ranch,Johnson Mtn Ranch,direct_boundary_geojson_unique_name
594,EA1145,531,531,Johnson Mountain Ranch,Johnson Mtn Ranch,direct_boundary_geojson_unique_name
595,EB3531,531,531,Johnson Mountain Ranch,Johnson Mtn Ranch,direct_boundary_geojson_unique_name
650,DB1337,556,556,Little Pole Canyon,Coyote Little Pole,direct_boundary_geojson_unique_name
651,EA1256,556,556,Little Pole Canyon,Coyote Little Pole,direct_boundary_geojson_unique_name
652,EB3613,556,556,Little Pole Canyon,Coyote Little Pole,direct_boundary_geojson_unique_name
653,MB6265,556,556,Little Pole Canyon,Coyote Little Pole,direct_boundary_geojson_unique_name
703,DB1238,579,579,Folley Ridge,Folly Ridge,direct_boundary_geojson_unique_name
704,EA1135,579,579,Folley Ridge,Folly Ridge,direct_boundary_geojson_unique_name
705,EB3520,579,579,Folley Ridge,Folly Ridge,direct_boundary_geojson_unique_name
862,EL3009,617,617,La Sal La Sal Mtns,La Sal Mtns,direct_boundary_geojson_unique_name
863,EL3045,617,617,La Sal La Sal Mtns,La Sal Mtns,direct_boundary_geojson_unique_name
864,EL3046,617,617,La Sal La Sal Mtns,La Sal Mtns,direct_boundary_geojson_unique_name
865,EL3087,617,617,La Sal La Sal Mtns,La Sal Mtns,direct_boundary_geojson_unique_name
866,EL3182,617,617,La Sal La Sal Mtns,La Sal Mtns,direct_boundary_geojson_unique_name
867,EL3183,617,617,La Sal La Sal Mtns,La Sal Mtns,direct_boundary_geojson_unique_name
869,LO1509,617,617,"La Sal, La Sal Mtns",La Sal Mtns,direct_boundary_geojson_unique_name
870,LO1539,617,617,"La Sal, La Sal Mtns",La Sal Mtns,direct_boundary_geojson_unique_name
871,LO1569,617,617,"La Sal, La Sal Mtns",La Sal Mtns,direct_boundary_geojson_unique_name
893,EA2012,620,620,"Wasatch Mtns, West-Central","Wasatch Mtns, West",direct_boundary_geojson_unique_name
1053,BI6532,667,667,"Book Cliffs, Bitter Creek","Book Cliffs, Bitter Creek (pronghorn)",direct_boundary_geojson_unique_name
1054,BI6534,667,667,"Book Cliffs, Bitter Creek","Book Cliffs, Bitter Creek (pronghorn)",direct_boundary_geojson_unique_name
1055,BI6535,667,667,"Book Cliffs, Bitter Creek","Book Cliffs, Bitter Creek (pronghorn)",direct_boundary_geojson_unique_name
1056,BI6536,667,667,"Book Cliffs, Bitter Creek","Book Cliffs, Bitter Creek (pronghorn)",direct_boundary_geojson_unique_name
1057,PB5001,667,667,"Book Cliffs, Bitter Creek","Book Cliffs, Bitter Creek (pronghorn)",direct_boundary_geojson_unique_name
1058,PB5026,667,667,"Book Cliffs, Bitter Creek","Book Cliffs, Bitter Creek (pronghorn)",direct_boundary_geojson_unique_name
1059,RS6720,668,668,"Fillmore, Oak Creek","Fillmore, Oak Creek (cougar)",direct_boundary_geojson_unique_name
1060,RS6726,668,668,"Fillmore, Oak Creek","Fillmore, Oak Creek (cougar)",direct_boundary_geojson_unique_name
1061,RS6727,668,668,"Fillmore, Oak Creek","Fillmore, Oak Creek (cougar)",direct_boundary_geojson_unique_name
1074,EL3031,682,682,Box Elder Pilot Mtn,"Box Elder, Pilot Mtn",direct_boundary_geojson_unique_name
1075,EL3130,682,682,Box Elder Pilot Mtn,"Box Elder, Pilot Mtn",direct_boundary_geojson_unique_name
1095,EL3000,685,685,Beaver East,"Beaver, East",direct_boundary_geojson_unique_name
1096,EL3024,685,685,Beaver East,"Beaver, East",direct_boundary_geojson_unique_name
1097,EL3025,685,685,Beaver East,"Beaver, East",direct_boundary_geojson_unique_name
1098,EL3077,685,685,Beaver East,"Beaver, East",direct_boundary_geojson_unique_name
1099,EL3158,685,685,Beaver East,"Beaver, East",direct_boundary_geojson_unique_name
1100,EL3159,685,685,Beaver East,"Beaver, East",direct_boundary_geojson_unique_name
1148,BR7004,744,744,Manti South/San Rafael North,"Manti South/San Rafael, North",direct_boundary_geojson_unique_name
1149,BR7105,744,744,Manti South/San Rafael North,"Manti South/San Rafael, North",direct_boundary_geojson_unique_name
1150,BR7204,744,744,Manti South/San Rafael North,"Manti South/San Rafael, North",direct_boundary_geojson_unique_name
1151,BR7304,744,744,Manti South/San Rafael North,"Manti South/San Rafael, North",direct_boundary_geojson_unique_name
1174,DB1208,874,874,Blackhawk,West Ridge,direct_boundary_geojson_unique_name
1175,EA1261,874,874,Blackhawk,West Ridge,direct_boundary_geojson_unique_name
1176,EB3504,874,874,Blackhawk,West Ridge,direct_boundary_geojson_unique_name
1196,BR7016,845,845,Wasatch Mtns West-Central,"Wasatch Mtns, West-Central",direct_boundary_geojson_unique_name
1204,DB0004,865,865,Southern Navajo,Navajo Nation SR permit area,direct_boundary_geojson_unique_name
1205,DB0005,865,865,Southern Navajo,Navajo Nation SR permit area,direct_boundary_geojson_unique_name
1206,DB0006,865,865,Southern Navajo,Navajo Nation SR permit area,direct_boundary_geojson_unique_name
1207,DB0010,865,865,Southern Paiute,Navajo Nation SR permit area,direct_boundary_geojson_unique_name
1208,DB0011,865,865,Southern Paiute,Navajo Nation SR permit area,direct_boundary_geojson_unique_name
1209,DB0012,865,865,Southern Paiute,Navajo Nation SR permit area,direct_boundary_geojson_unique_name
1210,DB0013,865,865,Southern Paiute,Navajo Nation SR permit area,direct_boundary_geojson_unique_name
1211,DB0001,866,866,Southeastern Navajo,Navajo Nation SER permit area,direct_boundary_geojson_unique_name
1212,DB0002,866,866,Southeastern Navajo,Navajo Nation SER permit area,direct_boundary_geojson_unique_name
1213,DB0003,866,866,Southeastern Navajo,Navajo Nation SER permit area,direct_boundary_geojson_unique_name
1218,EL3147,867,867,Box Elder Grouse Creek,"Box Elder, Grouse Creek",direct_boundary_geojson_unique_name
1219,EL3150,867,867,Box Elder Grouse Creek,"Box Elder, Grouse Creek",direct_boundary_geojson_unique_name
1220,EL3153,867,867,Box Elder Grouse Creek,"Box Elder, Grouse Creek",direct_boundary_geojson_unique_name
1228,EL3136,871,871,Southwest Desert North,"Southwest Desert, North",direct_boundary_geojson_unique_name
1229,EL3143,871,871,Southwest Desert North,"Southwest Desert, North",direct_boundary_geojson_unique_name
1237,EL3146,872,872,Southwest Desert South,"Southwest Desert, South",direct_boundary_geojson_unique_name
1238,EL3149,872,872,Southwest Desert South,"Southwest Desert, South",direct_boundary_geojson_unique_name
1239,EL3152,872,872,Southwest Desert South,"Southwest Desert, South",direct_boundary_geojson_unique_name
1240,EL3155,872,872,Southwest Desert South,"Southwest Desert, South",direct_boundary_geojson_unique_name
1241,EL3197,872,872,Southwest Desert South,"Southwest Desert, South",direct_boundary_geojson_unique_name
1242,EL3198,872,872,Southwest Desert South,"Southwest Desert, South",direct_boundary_geojson_unique_name
1246,EA1260,808,808,West Ridge,Blackhawk,direct_boundary_geojson_unique_name
1249,DB1330,876,876,Iron Spring,Iron Springs,direct_boundary_geojson_unique_name
1250,PB5339,876,876,Iron Spring,Iron Springs,direct_boundary_geojson_unique_name
1251,DB1333,878,878,5S,5S Land and Livestock,direct_boundary_geojson_unique_name
1252,EA1237,879,879,"La Sal Mtns, North","LaSal, Mtns-North",direct_boundary_geojson_unique_name
1253,EA1280,879,879,"La Sal, La Sal Mtns-North","LaSal, Mtns-North",direct_boundary_geojson_unique_name
1256,PD1043,882,882,"Nine Mile, Anthro-Pleasant Valley","Nine Mile, Anthro Pleasant Valley",direct_boundary_geojson_unique_name
1257,TK1006,884,884,Southeastern Area,Southeastern Region (Turkey LE),direct_boundary_geojson_unique_name
1258,TK1015,884,884,Southeastern Area,Southeastern Region (Turkey LE),direct_boundary_geojson_unique_name
1259,TK1007,885,885,Southern Area,Southern Region (Turkey LE),direct_boundary_geojson_unique_name
1260,TK1016,885,885,Southern Area,Southern Region (Turkey LE),direct_boundary_geojson_unique_name
1261,TK1004,886,886,Northeastern Area,Northeastern Region (Turkey LE),direct_boundary_geojson_unique_name
1262,TK1013,886,886,Northeastern Area,Northeastern Region (Turkey LE),direct_boundary_geojson_unique_name
1263,TK1003,887,887,Central Area,Central Region (Turkey LE),direct_boundary_geojson_unique_name
1264,TK1012,887,887,Central Area,Central Region (Turkey LE),direct_boundary_geojson_unique_name
1265,TK1005,888,888,Northern Area,Northern Region (Turkey LE),direct_boundary_geojson_unique_name
1266,TK1014,888,888,Northern Area,Northern Region (Turkey LE),direct_boundary_geojson_unique_name
1272,DB1335,892,892,Big Piney Ranch,Big Piney Mountain Ranch,direct_boundary_geojson_unique_name
1276,TK1020,898,898,Central Region,Central Region (fall turkey),direct_boundary_geojson_unique_name
1284,EL3160,899,899,Book Cliffs Bitter Creek/East,"Book Cliffs, Bitter Creek/East",direct_boundary_geojson_unique_name
1285,EL3161,899,899,Book Cliffs Bitter Creek/East,"Book Cliffs, Bitter Creek/East",direct_boundary_geojson_unique_name
1286,EL3162,899,899,Book Cliffs Bitter Creek/East,"Book Cliffs, Bitter Creek/East",direct_boundary_geojson_unique_name
1287,EL3163,899,899,Book Cliffs Bitter Creek/East,"Book Cliffs, Bitter Creek/East",direct_boundary_geojson_unique_name
1288,EL3164,899,899,Book Cliffs Bitter Creek/East,"Book Cliffs, Bitter Creek/East",direct_boundary_geojson_unique_name
1289,EL3166,899,899,Book Cliffs Bitter Creek/East,"Book Cliffs, Bitter Creek/East",direct_boundary_geojson_unique_name
1307,DA1048,910,910,Fillmore City,"Fillmore, Fillmore City",direct_boundary_geojson_unique_name
1313,EA1259,923,923,Diamond Mountain,The Dirty Dozen,direct_boundary_geojson_unique_name
1341,DB1116,929,929,HAMSS,"San Juan, Mancos Mesa",direct_boundary_geojson_unique_name
1343,EB1012,931,931,Uinta Basin,Uinta Basin Private Lands Any Bull Elk,direct_boundary_geojson_unique_name
1354,BI1000,5000,5000,Statewide,Sportsman Bison,canonical_unique_clean_name:draw_results_2026_for_2027_canonical_yearly_draw_results.csv
1355,BR1000,5001,5001,Statewide,Sportsman Black Bear,canonical_unique_clean_name:draw_results_2026_for_2027_canonical_yearly_draw_results.csv
1359,BR7123,5053,5053,Kamas/North Slope Summit,"Kamas/North Slope, Summit",canonical_unique_clean_name:draw_results_2026_for_2027_canonical_yearly_draw_results.csv
1360,BR7229,5079,5079,Kamas/North Slope Summit,"Kamas/North Slope, Summit",canonical_unique_clean_name:draw_results_2026_for_2027_canonical_yearly_draw_results.csv
1361,BR7321,5101,5101,Kamas/North Slope Summit,"Kamas/North Slope, Summit",canonical_unique_clean_name:draw_results_2026_for_2027_canonical_yearly_draw_results.csv
1362,CG9999,5107,5107,Statewide,Cougar - Statewide,canonical_unique_clean_name:draw_results_2025_for_2026_canonical_yearly_draw_results.csv
1363,DB0007,5108,5108,Statewide,Sportsman Buck Deer,canonical_unique_clean_name:draw_results_2026_for_2027_canonical_yearly_draw_results.csv
1364,DB0008,5109,5109,Extended Archery,Deer Extended Archery Only,canonical_unique_clean_name:draw_results_2026_for_2027_canonical_yearly_draw_results.csv
1365,DS1000,5110,5110,Statewide,Sportsman Desert Bighorn Sheep,canonical_unique_clean_name:draw_results_2026_for_2027_canonical_yearly_draw_results.csv
1366,EA1180,5111,5111,La Sal,La Sal (Conservation),canonical_unique_clean_name:draw_results_2026_for_2027_canonical_yearly_draw_results.csv
1369,EA1270,5114,5114,Fishlake,Fishlake (Conservation),canonical_unique_clean_name:draw_results_2026_for_2027_canonical_yearly_draw_results.csv
1370,EA1271,5115,5115,Manti,Manti (Conservation),canonical_unique_clean_name:draw_results_2026_for_2027_canonical_yearly_draw_results.csv
1372,EA2041,5117,5117,Cache,Cache (Conservation),canonical_unique_clean_name:draw_results_2026_for_2027_canonical_yearly_draw_results.csv
1373,EA2045,5118,5118,Wasatch Mtns,Wasatch Mtns (Conservation),canonical_unique_clean_name:draw_results_2026_for_2027_canonical_yearly_draw_results.csv
1374,EB1000,5119,5119,Statewide,Sportsman Bull Elk,canonical_unique_clean_name:draw_results_2026_for_2027_canonical_yearly_draw_results.csv
1380,EB1007,5125,5125,Youth Any Bull Units,Youth Any Bull/Hunter's Choice Elk,canonical_unique_clean_name:draw_results_2025_for_2026_canonical_yearly_draw_results.csv
1386,GO1000,5131,5131,Statewide,Sportsman Mountain Goat,canonical_unique_clean_name:draw_results_2026_for_2027_canonical_yearly_draw_results.csv
1387,MB1000,5133,5133,Statewide,Sportsman Bull Moose,canonical_unique_clean_name:draw_results_2026_for_2027_canonical_yearly_draw_results.csv
1388,PB1000,5134,5134,Statewide,Sportsman Buck Pronghorn,canonical_unique_clean_name:draw_results_2026_for_2027_canonical_yearly_draw_results.csv
1389,RS0001,5135,5135,Statewide,Sportsman Rocky Mountain Bighorn Sheep,canonical_unique_clean_name:draw_results_2026_for_2027_canonical_yearly_draw_results.csv
1390,TK1001,5136,5136,Northern Region,Northern Region (fall turkey),direct_boundary_geojson_unique_name
1391,TK1019,5137,5137,Southeastern Region - Select areas only,Southeastern Region (fall turkey),direct_boundary_geojson_unique_name
1392,TK1022,5138,5138,Southern Region - Select areas only,Southern Region (fall turkey),direct_boundary_geojson_unique_name
1395,DS6625,10003,10003,Mineral Mtns,Mineral Mountain,direct_boundary_geojson_unique_name
1414,DB1345,923,923,Diamond Mountain,The Dirty Dozen,direct_boundary_geojson_unique_name
1426,EB3617,923,923,Diamond Mountain,The Dirty Dozen,direct_boundary_geojson_unique_name
1442,PD1006,171,171,Parker Mtn,Plateau,direct_boundary_geojson_unique_name
1458,EA1291,950,950,"Mt Dutton, North",Mt Dutton North,direct_boundary_geojson_unique_name
1459,EA1292,950,950,"Mt Dutton, North",Mt Dutton North,direct_boundary_geojson_unique_name
